ID,Real_Visual_Angle,Distance,Elevation,Task,Reported_Visual_Angle,Ratio_Visual_Angle,Study
1000,0.503898546,395236000,12,Perceptual,3.003846561,5.961212991,MoonStudy
1000,0.503898546,395236000,12,Adjusted,0.924416053,1.83452812,MoonStudy
1000,0.503898546,395236000,25,Perceptual,2.565944512,5.092184786,MoonStudy
1000,0.503898546,395236000,25,Adjusted,0.993777987,1.972178713,MoonStudy
1001,0.503898546,395236000,13,Perceptual,2.767684755,5.492543637,MoonStudy
1001,0.503898546,395236000,13,Adjusted,1.517475181,3.011469653,MoonStudy
1001,0.503898546,395236000,21,Perceptual,2.142761195,4.252366296,MoonStudy
1001,0.503898546,395236000,21,Adjusted,1.138579295,2.259540741,MoonStudy
1002,0.503898546,395236000,14,Perceptual,1.020879608,2.025962597,MoonStudy
1002,0.503898546,395236000,14,Adjusted,1.117232299,2.217177063,MoonStudy
1002,0.503898546,395236000,24,Perceptual,0.924416053,1.83452812,MoonStudy
1002,0.503898546,395236000,24,Adjusted,0.916712916,1.819241041,MoonStudy
1003,0.503898546,395236000,16,Perceptual,1.582816629,3.141141486,MoonStudy
1003,0.503898546,395236000,16,Adjusted,1.666668781,3.3075483,MoonStudy
1003,0.503898546,395236000,21,Perceptual,1.909682508,3.789815472,MoonStudy
1003,0.503898546,395236000,21,Adjusted,1.248180116,2.477046472,MoonStudy
1004,0.503898546,395236000,16,Perceptual,1.926579182,3.823347371,MoonStudy
1004,0.503898546,395236000,16,Adjusted,1.201022629,2.38346119,MoonStudy
1004,0.503898546,395236000,22,Perceptual,1.426474292,2.830875982,MoonStudy
1004,0.503898546,395236000,22,Adjusted,1.083789326,2.150808597,MoonStudy
1005,0.503898546,395236000,16,Perceptual,2.134301817,4.235578435,MoonStudy
1005,0.503898546,395236000,16,Adjusted,3.34275657,6.633788872,MoonStudy
1005,0.503898546,395236000,24,Perceptual,1.270872456,2.52208002,MoonStudy
1005,0.503898546,395236000,24,Adjusted,1.666668781,3.3075483,MoonStudy
1006,0.503898546,395236000,17,Perceptual,1.853903911,3.67912137,MoonStudy
1006,0.503898546,395236000,17,Adjusted,2.153515502,4.273708503,MoonStudy
1006,0.503898546,395236000,23,Perceptual,0.921438037,1.828618169,MoonStudy
1006,0.503898546,395236000,23,Adjusted,1.752440156,3.477763864,MoonStudy
1007,0.503898546,395236000,17.5,Perceptual,1.697914289,3.369555838,MoonStudy
1007,0.503898546,395236000,17.5,Adjusted,2.229608397,4.424716865,MoonStudy
1007,0.503898546,395236000,22.5,Perceptual,1.189758966,2.361108153,MoonStudy
1007,0.503898546,395236000,22.5,Adjusted,1.25469542,2.489976263,MoonStudy
1008,0.503898546,395236000,18,Perceptual,1.136561932,2.255537232,MoonStudy
1008,0.503898546,395236000,18,Adjusted,1.039290294,2.062499092,MoonStudy
1008,0.503898546,395236000,23,Perceptual,0.928076632,1.841792635,MoonStudy
1008,0.503898546,395236000,23,Adjusted,1.057738196,2.09910944,MoonStudy
1009,0.503898546,395236000,18,Perceptual,2.160900419,4.288364065,MoonStudy
1009,0.503898546,395236000,18,Adjusted,1.901557694,3.773691565,MoonStudy
1009,0.503898546,395236000,24,Perceptual,1.596343233,3.16798539,MoonStudy
1009,0.503898546,395236000,24,Adjusted,1.934478898,3.839024565,MoonStudy
1010,0.503898546,395236000,19,Perceptual,0.863572212,1.713781908,MoonStudy
1010,0.503898546,395236000,19,Adjusted,2.291525676,4.547593345,MoonStudy
