ID,Gender,Date,Time,Age,Distance,Real_Visual_Angle,Reported_Visual_Angle,Task,Ratio_Visual_Angle,Elevation,Session,Disparity_VA
1000,Female,5/22/24,9:19:00 PM,19,395236,0.503898546,3.003846561,Perceptual,5.961212991,12,Lower,
1000,Female,5/22/24,9:19:00 PM,19,395236,0.503898546,0.924416053,Adjusted,1.83452812,12,Lower,
1000,Female,5/22/24,9:19:00 PM,19,395236,0.503898546,2.565944512,Perceptual,5.092184786,25,Higher,
1000,Female,5/22/24,9:19:00 PM,19,395236,0.503898546,0.993777987,Adjusted,1.972178713,25,Higher,
1001,Male,5/22/24,9:25:00 PM,24,395236,0.503898546,2.767684755,Perceptual,5.492543637,13,Lower,
1001,Male,5/22/24,9:25:00 PM,24,395236,0.503898546,1.517475181,Adjusted,3.011469653,13,Lower,
1001,Male,5/22/24,9:25:00 PM,24,395236,0.503898546,2.142761195,Perceptual,4.252366296,21,Higher,
1001,Male,5/22/24,9:25:00 PM,24,395236,0.503898546,1.138579295,Adjusted,2.259540741,21,Higher,
1002,Male,5/22/24,9:30:00 PM,19,395236,0.503898546,1.020879608,Perceptual,2.025962597,14,Lower,
1002,Male,5/22/24,9:30:00 PM,19,395236,0.503898546,1.117232299,Adjusted,2.217177063,14,Lower,
1002,Male,5/22/24,9:30:00 PM,19,395236,0.503898546,0.924416053,Perceptual,1.83452812,24,Higher,
1002,Male,5/22/24,9:30:00 PM,19,395236,0.503898546,0.916712916,Adjusted,1.819241041,24,Higher,
1003,Female,5/22/24,9:45:00 PM,19,395236,0.503898546,1.582816629,Perceptual,3.141141486,16,Lower,
1003,Female,5/22/24,9:45:00 PM,19,395236,0.503898546,1.666668781,Adjusted,3.3075483,16,Lower,
1003,Female,5/22/24,9:45:00 PM,19,395236,0.503898546,1.909682508,Perceptual,3.789815472,21,Higher,
1003,Female,5/22/24,9:45:00 PM,19,395236,0.503898546,1.248180116,Adjusted,2.477046472,21,Higher,
