Table Summary Report
====================

Source: /Users/kalanit/Projects/StanfordMoonStudy/Data/MoonStudy/Perceptual_FullMoonDataProcessed090225.csv
Generated: 2026-07-16 16:21:05
Rows: 321
Unique IDs: 157
Date format: MM/dd/yyyy
Time format: HH:mm:ss
Time day starts at: 12:00:00
Columns summarized: 10

Parameter                Min           Max                  Median        Mean          Std           Notes
---------------------    ----------    -----------------    ----------    ----------    ----------    -----
Date                     05/22/2024    08/09/2025           10/17/2024    11/20/2024    2580:54:52         
Age                      16            56                   19            21.0676       6.68039            
Distance                 357252        404420               370233        371211        13149              
Real_Visual_Angle        0.492456      0.557474             0.537928      0.537172      0.0187156          
Reported_Visual_Angle    0.364608      3.75252              1.31153       1.40978       0.612963           
Time                     16:35:00      00:13:00 (+1 day)    20:16:00      20:19:05      01:57:14           
Ratio_Visual_Angle       0.694115      7.18125              2.39472       2.63271       1.16372            
Elevation                2.5           46                   19            19.5552       10.2383            
Template_Distance        38.2          91                   70            68.0048       11.177             
Template_Size            0.49          4                    1.63          1.64393       0.686749           

