ID Number,Gender,Age,Date,Moon Diameter (km),Moon Distance (km),Time 1,Round 1 Estimate Template Number,Round 1 Estimate Template Size (cm),Round 1 Estimate Distance (cm),Elevation 1 (deg),Round 2 Estimate Template Number,Round 2 Estimate Template Size (cm),Round 2 Estimate Distance (cm),Time 2,Elevation 2 (deg) 
1000,Female,19,5/22/2024,3476,395236,9:19:00 PM,14,2.15,41.00,12.00,14,2.15,48.00,11:25:00 PM,25.00
1001,Male,24,5/22/2024,3476,395236,9:25:00 PM,14,2.15,44.50,13.00,11,1.44,38.50,10:35:00 PM,21.00
1002,Male,19,5/22/2024,3476,395236,9:30:00 PM,9,0.98,55.00,14.00,8,0.96,59.50,11:07:00 PM,24.00
1003,Female,19,5/22/2024,3476,395236,9:45:00 PM,12,1.63,59.00,16.00,13,1.90,57.00,10:38:00 PM,21.00
1004,Female,18,5/22/2024,3476,395236,9:48:00 PM,13,1.90,56.50,16.00,10,1.22,49.00,10:43:00 PM,22.00
1005,Male,19,5/22/2024,3476,395236,9:52:00 PM,13,1.90,51.00,16.00,10,1.22,55.00,11:02:00 PM,24.00
1006,Female,18,5/22/2024,3476,395236,9:56:00 PM,11,1.44,44.50,17.00,7,0.78,48.50,10:51:00 PM,23.00
1007,Female,18,5/22/2024,3476,395236,10:00:00 PM,12,1.63,55.00,17.50,10,1.22,58.75,10:48:00 PM,22.50
1008,Female,19,5/22/2024,3476,395236,10:03:00 PM,10,1.22,61.50,18.00,9,0.98,60.50,10:53:00 PM,23.00
1009,Male,18,5/22/2024,3476,395236,10:07:00 PM,14,2.15,57.00,18.00,12,1.63,58.50,11:10:00 PM,24.00
1010,Female,18,5/22/2024,3476,395236,10:12:00 PM,7,0.78,51.75,19.00,6,0.72,43.50,10:57:00 PM,23.00
1011,Female,21,5/22/2024,3476,395236,10:17:00 PM,12,1.63,54.50,19.00,10,1.22,62.00,11:15:00 PM,25.00
1012,Male,17,7/20/2024,3476,374538,9:25:00 PM,13,1.90,83.00,7.50,12,1.63,79.00,10:30:00 PM,16.00
1013,Female,16,7/20/2024,3476,374538,9:30:00 PM,15,2.44,63.00,8.00,12,1.63,77.00,10:35:00 PM,17.00
1014,Female,17,7/20/2024,3476,374538,9:32:00 PM,11,1.44,73.00,9.00,10,1.22,79.00,10:56:00 PM,19.00
1015,Female,17,7/20/2024,3476,374538,9:39:00 PM,11,1.44,66.00,10.00,10,1.22,70.00,11:00:00 PM,19.00
1016,Female,16,7/20/2024,3476,374538,9:45:00 PM,14,2.15,67.00,10.00,12,1.63,69.50,10:53:00 PM,19.00
1017,Female,22,7/21/2024,3476,370233,10:21:00 PM,16,2.70,69.00,10.00,10,1.22,71.00,11:27:00 PM,19.00
1018,Male,21,7/21/2024,3476,370233,10:26:00 PM,11,1.44,71.00,11.00,9,0.98,63.00,11:23:00 PM,19.00
1019,Female,17,7/21/2024,3476,370233,10:30:00 PM,14,2.15,54.50,11.00,11,1.44,55.50,11:12:00 PM,17.00
1020,Female,17,7/21/2024,3476,370233,10:33:00 PM,12,1.63,73.00,12.00,11,1.44,79.00,11:32:00 PM,20.00
1021,Male,20,8/19/2024,3476,363196,9:10:00 PM,13,1.90,75.50,9.00,13,1.90,75.50,10:15:00 PM,20.00
1022,Female,21,8/19/2024,3476,363196,9:18:00 PM,19,4.00,71.00,10.00,16,2.70,76.00,10:20:00 PM,20.00
1023,Male,20,8/19/2024,3476,363196,9:25:00 PM,14,2.15,74.50,11.00,12,1.63,71.00,10:37:00 PM,23.00
53,Female,22,8/19/2024,3476,363196,9:32:00 PM,9,0.98,70.00,13.00,8,0.96,86.00,10:40:00 PM,23.50
1025,Female,25,8/20/2024,3476,360805,9:11:00 PM,11,1.44,71.75,4.00,7,0.78,67.50,10:17:00 PM,16.00
1026,Female,26,8/20/2024,3476,360805,9:17:00 PM,16,2.70,74.00,5.00,13,1.90,82.50,10:21:00 PM,17.00
1027,Male,33,8/20/2024,3476,360805,9:20:00 PM,12,1.63,51.00,5.00,8,0.96,61.00,10:24:00 PM,17.50
1028,Male,55,8/20/2024,3476,360805,9:26:00 PM,18,3.80,62.00,6.00,18,3.80,87.50,10:32:00 PM,19.00
1029,Male,32,8/20/2024,3476,360805,9:30:00 PM,12,1.63,77.00,7.00,13,1.90,61.00,10:29:00 PM,18.50
1030,Male,24,8/20/2024,3476,360805,9:35:00 PM,11,1.44,46.00,8.00,7,0.78,62.50,10:26:00 PM,18.00
1031,Female,23,8/20/2024,3476,360805,9:40:00 PM,13,1.90,65.10,9.00,11,1.44,61.50,10:35:00 PM,19.00
