Table Summary Report
====================

Source: /Users/kalanit/Projects/StanfordMoonStudy/Data/MoonStudy/Perceptual_FullMoonDataRaw090225.csv
Generated: 2026-07-16 16:21:06
Rows: 165
Unique IDs: 157
Date format: MM/dd/yyyy
Time format: HH:mm:ss
Time day starts at: 12:00:00
Columns summarized: 14

Parameter                              Min           Max                  Median        Mean          Std           Notes
-----------------------------------    ----------    -----------------    ----------    ----------    ----------    -----
Age                                    16            56                   19            21.0414       6.59322            
Date                                   05/22/2024    08/09/2025           10/17/2024    11/21/2024    2575:37:14         
Moon Diameter (km)                     3476          3476                 3476          3476          0                  
Moon Distance (km)                     357252        404420               370233        371181        13104.6            
Time 1                                 16:35:00      00:00:00 (+1 day)    19:55:00      19:36:54      01:48:55           
Round 1 Estimate Template Number       5             19                   13            12.5244       2.76359            
Round 1 Estimate Template Size (cm)    0.65          4                    1.9           1.87329       0.714833           
Round 1 Estimate Distance (cm)         38.2          88.5                 69            67.272        11.1089            
Elevation 1 (deg)                      2.5           24                   12            12.4543       5.61681            
Round 2 Estimate Template Number       3             18                   10            10.3885       2.76575            
Round 2 Estimate Template Size (cm)    0.49          3.8                  1.22          1.39255       0.55113            
Round 2 Estimate Distance (cm)         38.5          91                   70.5          68.7006       10.7502            
Time 2                                 17:40:00      00:13:00 (+1 day)    21:40:30      21:04:36      01:48:51           
Elevation 2 (deg)                      12            46                   24            27.1667       8.44798            

