ID,Gender,Date,Time,Age,Distance,Real_Visual_Angle,Reported_Visual_Angle,Task,Ratio_Visual_Angle,Elevation,Session,Disparity_VA
5000,Female,01/12/0025,12:00:00 AM,20,379144,0.525285207,1.612663617,Perceptual,3.0700724,5,Lower,7.294711213
5000,Female,01/12/0025,12:00:00 AM,20,379144,0.525285207,0.788183479,Adjusted,1.500486722,5,Lower,7.294711213
5000,Female,01/12/0025,12:00:00 AM,20,379144,0.525285207,0.760681729,Perceptual,1.448130879,18,Higher,6.823631807
5000,Female,01/12/0025,12:00:00 AM,20,379144,0.525285207,1.258842542,Adjusted,2.396493418,18,Higher,6.823631807
6875341,Female,01/12/0025,04:35:00 PM,18,379144,0.525285207,0.981040607,Perceptual,1.867634179,6,Lower,7.488434886
6875341,Female,01/12/0025,04:35:00 PM,18,379144,0.525285207,0.633904286,Adjusted,1.206781149,6,Lower,7.488434886
6875341,Female,01/12/0025,04:35:00 PM,18,379144,0.525285207,0.729209169,Perceptual,1.388215695,17,Higher,8.621727701
6875341,Female,01/12/0025,04:35:00 PM,18,379144,0.525285207,0.827591315,Adjusted,1.575508512,17,Higher,8.621727701
32437,Female,01/12/0025,04:38:00 PM,19,379144,0.525285207,1.057738196,Perceptual,2.013645503,6,Lower,10.05881409
32437,Female,01/12/0025,04:38:00 PM,19,379144,0.525285207,0.64072032,Adjusted,1.219757021,6,Lower,10.05881409
32437,Female,01/12/0025,04:38:00 PM,19,379144,0.525285207,0.499892892,Perceptual,0.951659946,20,Higher,9.064201289
32437,Female,01/12/0025,04:38:00 PM,19,379144,0.525285207,0.846399532,Adjusted,1.611314236,20,Higher,9.064201289
6875476,Female,01/12/0025,04:40:00 PM,18,379144,0.525285207,0.904846579,Perceptual,1.722581497,7,Lower,8.004404646
6875476,Female,01/12/0025,04:40:00 PM,18,379144,0.525285207,0.58706492,Adjusted,1.11761175,7,Lower,8.004404646
6875476,Female,01/12/0025,04:40:00 PM,18,379144,0.525285207,0.364608276,Perceptual,0.694114874,21,Higher,8.804817396
6875476,Female,01/12/0025,04:40:00 PM,18,379144,0.525285207,1.122493654,Adjusted,2.136922263,21,Higher,8.804817396
