ID,Gender,Date,Time,Age,Version,Measurement,Reported_Visual_Angle,Object,Task,Ground_Distance,Real_Visual_Angle,Ground_Elevation,Width,Observer_Distance,Observer_Elevation,Template_Size,Arm_Length,Ratio_Visual_Angle
1,Male,2/16/24,09:00,56,1,Lamp1_Perceptual_VA,1.043267458,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,1.22,67,2.813717481
1,Male,2/16/24,09:00,56,1,Lamp1_Adjusted_VA,0.645393911,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.49,43.5,1.740642932
1,Male,2/16/24,09:00,56,1,Lamp2_Perceptual_VA,1.624696813,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.9,67,1.409490051
1,Male,2/16/24,09:00,56,1,Lamp2_Adjusted_VA,1.241359995,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,0.65,30,1.076929892
1,Male,2/16/24,09:00,56,1,Lamp3_Perceptual_VA,1.23138428,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,1.44,67,2.658450166
1,Male,2/16/24,09:00,56,1,Lamp3_Adjusted_VA,1.039783757,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.49,27,2.24480152
1,Male,2/16/24,09:00,56,1,Lamp4_Perceptual_VA,1.393843503,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,1.63,67,2.047839261
1,Male,2/16/24,09:00,56,1,Lamp4_Adjusted_VA,1.617655721,Lamp4,Adjusted,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.72,25.5,2.376664876
1,Male,2/16/24,09:00,56,1,Stick1_Perceptual_VA,5.212882542,Stick1,Perceptual,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,6.1,67,2.205680719
1,Male,2/16/24,09:00,56,1,Stick1_Adjusted_VA,3.01639733,Stick1,Adjusted,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,2.08,39.5,1.276301428
1,Male,2/16/24,09:00,56,1,Stick2_Perceptual_VA,7.684906256,Stick2,Perceptual,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,9,67,1.047195359
1,Male,2/16/24,09:00,56,1,Stick2_Adjusted_VA,6.441409921,Stick2,Adjusted,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,3.32,29.5,0.877748452
1,Male,2/16/24,09:00,56,1,Stick3_Perceptual_VA,4.418989992,Stick3,Perceptual,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,5.17,67,1.496826569
1,Male,2/16/24,09:00,56,1,Stick3_Adjusted_VA,4.411716098,Stick3,Adjusted,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,2.08,27,1.494362713
1,Male,2/16/24,09:00,56,1,Stick4_Perceptual_VA,5.886874264,Stick4,Perceptual,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,6.89,67,1.357340334
1,Male,2/16/24,09:00,56,1,Stick4_Adjusted_VA,5.084525832,Stick4,Adjusted,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,2.22,25,1.172342347
2,Female,2/16/24,13:30,26,1,Lamp1_Perceptual_VA,0.932249743,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.96,59,2.514300027
2,Female,2/16/24,13:30,26,1,Lamp1_Adjusted_VA,0.496560314,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.39,45,1.339235136
2,Female,2/16/24,13:30,26,1,Lamp2_Perceptual_VA,2.087666049,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,2.15,59,1.811134546
2,Female,2/16/24,13:30,26,1,Lamp2_Adjusted_VA,1.56799715,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,0.78,28.5,1.360300805
2,Female,2/16/24,13:30,26,1,Lamp3_Perceptual_VA,1.184717974,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,1.22,59,2.557701725
2,Female,2/16/24,13:30,26,1,Lamp3_Adjusted_VA,0.660579317,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.49,42.5,1.426132544
2,Female,2/16/24,13:30,26,1,Lamp4_Perceptual_VA,1.582816629,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,1.63,59,2.325479172
2,Female,2/16/24,13:30,26,1,Lamp4_Adjusted_VA,0.876271312,Lamp4,Adjusted,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.65,42.5,1.287420569
2,Female,2/16/24,13:30,26,1,Stick1_Perceptual_VA,3.22325115,Stick1,Perceptual,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,3.32,59,1.363825649
2,Female,2/16/24,13:30,26,1,Stick1_Adjusted_VA,1.688595479,Stick1,Adjusted,6280,2.36338945,3.45399333,14,6285.389794,2.372950228,1.4,47.5,0.714480417
2,Female,2/16/24,13:30,26,1,Stick2_Perceptual_VA,7.466998345,Stick2,Perceptual,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,7.7,59,1.017501808
2,Female,2/16/24,13:30,26,1,Stick2_Adjusted_VA,6.655187904,Stick2,Adjusted,2020,7.338560272,10.62760134,14,2036.694591,7.341075179,4.07,35,0.906879232
2,Female,2/16/24,13:30,26,1,Stick3_Perceptual_VA,5.017455162,Stick3,Perceptual,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,5.17,59,1.699542251
2,Female,2/16/24,13:30,26,1,Stick3_Adjusted_VA,3.027786395,Stick3,Adjusted,5027,2.952239146,4.311990364,14,5033.731604,2.96346827,2.22,42,1.025589814
2,Female,2/16/24,13:30,26,1,Stick4_Perceptual_VA,6.68339321,Stick4,Perceptual,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,6.89,59,1.540994213
2,Female,2/16/24,13:30,26,1,Stick4_Adjusted_VA,4.473537476,Stick4,Adjusted,3421,4.337065743,6.322470667,14,3430.884122,4.350187438,3.32,42.5,1.031466374
3,Male,2/16/24,14:30,21,1,Lamp1_Perceptual_VA,0.496560314,Lamp1,Perceptual,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.52,60,1.339235136
3,Male,2/16/24,14:30,21,1,Lamp1_Adjusted_VA,0.471844929,Lamp1,Adjusted,6280,0.370779037,3.638674008,40.64,6286.263907,2.557997168,0.49,59.5,1.272577147
3,Male,2/16/24,14:30,21,1,Lamp2_Perceptual_VA,1.164974047,Lamp2,Perceptual,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.22,60,1.010661999
3,Male,2/16/24,14:30,21,1,Lamp2_Adjusted_VA,1.386586483,Lamp2,Adjusted,2020,1.15268413,11.18332857,40.64,2039.390574,7.90728638,1.44,59.5,1.20291973
3,Male,2/16/24,14:30,21,1,Lamp3_Perceptual_VA,0.620698208,Lamp3,Perceptual,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.65,60,1.340032743
3,Male,2/16/24,14:30,21,1,Lamp3_Adjusted_VA,0.562142761,Lamp3,Adjusted,5027,0.4631963,4.542209501,40.64,5034.823027,3.194399214,0.52,53,1.213616693
3,Male,2/16/24,14:30,21,1,Lamp4_Perceptual_VA,0.744834644,Lamp4,Perceptual,3421,0.680641069,6.658445696,40.64,3432.485239,4.68839803,0.78,60,1.094313403
