ID,Gender,Age,Notes,Date,Time,Version,Lamp1 Estimate Template Number,Lamp1 Estimate Template Size (cm),Lamp1 Estimate Distance (cm),Lamp1 Width (cm),Lamp1 Distance (cm),Lamp2 Estimate Template Number,Lamp2 Estimate Template Size (cm),Lamp2 Estimate Distance (cm),Lamp2 Width (cm),Lamp2 Distance (cm),Lamp3 Estimate Template Number,Lamp3 Estimate Template Size (cm),Lamp3 Estimate Distance (cm),Lamp3 Width (cm),Lamp3 Distance (cm),Lamp4 Estimate Template Number,Lamp4 Estimate Template Size (cm),Lamp4 Estimate Distance (cm),Lamp4 Width (cm),Lamp4 Distance (cm),Lamp1a Estimate Template Number,Lamp1a Estimate Template Size (cm),Lamp1a Estimate Distance (cm),Lamp1a Width (cm),Lamp1a Distance (cm),Lamp1a 1st Caliper Aperture (cm),Lamp1a 1st Caliper Distance (cm),Lamp2a Estimate Template Number,Lamp2a Estimate Template Size (cm),Lamp2a Estimate Distance (cm),Lamp2a Width (cm),Lamp2a Distance (cm),Lamp2a 1st Caliper Aperture (cm),Lamp2a 1st Caliper Distance (cm),Lamp3a Estimate Template Number,Lamp3a Estimate Template Size (cm),Lamp3a Estimate Distance (cm),Lamp3a Width (cm),Lamp3a Distance (cm),Lamp3a 1st Caliper Aperture (cm),Lamp3a 1st Caliper Distance (cm),Lamp4a Estimate Template Number,Lamp4a Estimate Template Size (cm),Lamp4a Estimate Distance (cm),Lamp4a Width (cm),Lamp4a Distance (cm),Lamp4a 1st Caliper Aperture (cm),Lamp4a 1st Caliper Distance (cm),Lamp5 Estimate Template Number,Lamp5 Estimate Template Size (cm),Lamp5 Estimate Distance (cm),Lamp5 Width (cm),Lamp5 Distance (cm),Lamp5 1st Caliper Aperture (cm),Lamp5 1st Caliper Distance (cm),Lamp5 2nd Caliper Aperture (cm),Lamp5 2nd Caliper Distance (cm),Lamp6 Estimate Template Number,Lamp6 Estimate Template Size (cm),Lamp6 Estimate Distance (cm),Lamp6 Width (cm),Lamp6 Distance (cm),Lamp6 1st Caliper Aperture (cm),Lamp6 1st Caliper Distance (cm),Lamp6 2nd Caliper Aperture (cm),Lamp6 2nd Caliper Distance (cm),Lamp7 Estimate Template Number,Lamp7 Estimate Template Size (cm),Lamp7 Estimate Distance (cm),Lamp7 Width (cm),Lamp7 Distance (cm),Lamp7 1st Caliper Aperture (cm),Lamp7 1st Caliper Distance (cm),Lamp7 2nd Caliper Aperture (cm),Lamp7 2nd Caliper Distance (cm),Stick1 Estimate Template Number,Stick1 Estimate Template Size (cm),Stick1 Estimate Distance (cm),Stick1 Width (cm),Stick1 Height (cm),Stick1 Distance (cm),Stick2 Estimate Template Number,Stick2 Estimate Template Size (cm),Stick2 Estimate Distance (cm),Stick2 Width (cm),Stick2 Height (cm),Stick2 Distance (cm),Stick3 Estimate Template Number,Stick3 Estimate Template Size (cm),Stick3 Estimate Distance (cm),Stick3 Width (cm),Stick3 Height (cm),Stick3 Distance (cm),Stick4 Estimate Template Number,Stick4 Estimate Template Size (cm),Stick4 Estimate Distance (cm),Stick4 Width (cm),Stick4 Height (cm),Stick4 Distance (cm),Stick7 Estimate Template Number,Stick7 Estimate Template Size (cm),Stick7 Estimate Distance (cm),Stick7 Width (cm),Stick7 Height (cm),Stick7 Distance (cm),Stick7 1st Caliper Aperture (cm),Stick7 1st Caliper Distance (cm),Stick7 2nd Caliper Aperture (cm),Stick7 2nd Caliper Distance (cm),Stick8 Estimate Template Number,Stick8 Estimate Template Size (cm),Stick8 Estimate Distance (cm),Stick8 Width (cm),Stick8 Height (cm),Stick8 Distance (cm),Stick8 1st Caliper Aperture (cm),Stick8 1st Caliper Distance (cm),Stick8 2nd Caliper Aperture (cm),Stick8 2nd Caliper Distance (cm),Stick9 Estimate Template Number,Stick9 Estimate Template Size (cm),Stick9 Estimate Distance (cm),Stick9 Width (cm),Stick9 Height (cm),Stick9 Distance (cm),Stick9 1st Caliper Aperture (cm),Stick9 1st Caliper Distance (cm),Stick9 2nd Caliper Aperture (cm),Stick9 2nd Caliper Distance (cm),Stick9a Estimate Template Number,Stick9a Estimate Template Size (cm),Stick9a Estimate Distance (cm),Stick9a Width (cm),Stick9a Height (cm),Stick9a Distance (cm),Stick9a 1st Caliper Aperture (cm),Stick9a 1st Caliper Distance (cm),Stick9a 2nd Caliper Aperture (cm),Stick9a 2nd Caliper Distance (cm),Stick10 Estimate Template Number,Stick10 Estimate Template Size (cm),Stick10 Estimate Distance (cm),Stick10 Width (cm),Stick10 Height (cm),Stick10 Distance (cm),Stick10 1st Caliper Aperture (cm),Stick10 1st Caliper Distance (cm),Stick10 2nd Caliper Aperture (cm),Stick10 2nd Caliper Distance (cm),MoonBallBall1 Estimate Template Number,MoonBall1 Estimate Template Size (cm),MoonBall1 Estimate Distance (cm),MoonBall1 Width (cm),MoonBall1 Distance (cm),MoonBall2 Estimate Template Number,MoonBall2 Estimate Template Size (cm),MoonBall2 Estimate Distance (cm),MoonBall2 Width (cm),MoonBall2 Distance (cm),MoonBall3 Estimate Template Number,MoonBall3 Estimate Template Size (cm),MoonBall3 Estimate Distance (cm),MoonBall3 Width (cm),MoonBall3 Distance (cm),MoonBall4 Estimate Template Number,MoonBall4 Estimate Template Size (cm),MoonBall4 Estimate Distance (cm),MoonBall4 Width (cm),MoonBall4 Distance (cm),BlueBall Estimate Template Number,BlueBall Estimate Template Size (cm),BlueBall Estimate Distance (cm),BlueBall Width (cm),BlueBall Distance (cm),BlueBall 1st Caliper Aperture (cm),BlueBall 1st Caliper Distance (cm),BlueBall 2nd Caliper Aperture (cm),BlueBall 2nd Caliper Distance (cm)
1,Male,56,,2/16/24,09:00,1,10,1.22,67,40.64,6280,13,1.9,67,40.64,2020,11,1.44,67,40.64,5027,12,1.63,67,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,11,6.1,67,14,259.08,6280,14,9,67,14,259.08,2020,10,5.17,67,14,259.08,5027,12,6.89,67,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
2,Female,26,,2/16/24,13:30,1,8,0.96,59,40.64,6280,14,2.15,59,40.64,2020,10,1.22,59,40.64,5027,12,1.63,59,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,7,3.32,59,14,259.08,6280,13,7.7,59,14,259.08,2020,10,5.17,59,14,259.08,5027,12,6.89,59,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
3,Male,21,,2/16/24,14:30,1,4,0.52,60,40.64,6280,10,1.22,60,40.64,2020,5,0.65,60,40.64,5027,7,0.78,60,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,3,2.08,60,14,259.08,6280,10,5.17,60,14,259.08,2020,5,2.77,60,14,259.08,5027,7,3.32,60,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
4,Male,21,,2/16/24,15:30,1,9,0.98,58,40.64,6280,13,1.9,58,40.64,2020,8,0.96,58,40.64,5027,10,1.22,58,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,10,5.17,58,14,259.08,6280,14,9,58,14,259.08,2020,10,5.17,58,14,259.08,5027,12,6.89,58,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
5,Male,23,,2/23/24,14:25,1,15,2.44,71.5,40.64,6280,16,2.7,71.5,40.64,2020,15,2.44,71.5,40.64,5027,16,2.7,71.5,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,15,10.34,71.5,14,259.08,6280,16,11,71.5,14,259.08,2020,14,9,71.5,14,259.08,5027,16,11,71.5,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
6,Male,34,,2/23/24,15:10,1,15,2.44,61.5,40.64,6280,16,2.7,61.5,40.64,2020,16,2.7,61.5,40.64,5027,16,2.7,61.5,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,13,7.7,61.5,14,259.08,6280,15,10.34,61.5,14,259.08,2020,14,9,61.5,14,259.08,5027,15,10.34,61.5,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
7,Female,21,,2/23/24,16:24,1,8,0.96,46,40.64,6280,14,2.15,46,40.64,2020,9,0.98,46,40.64,5027,11,1.44,46,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,6,3.05,46,14,259.08,6280,14,9,46,14,259.08,2020,8,4.07,46,14,259.08,5027,10,5.17,46,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
30337,Female,20,,3/7/24,14:18,1,10,1.22,66,40.64,6280,18,3.8,66,40.64,2020,12,1.63,66,40.64,5027,14,2.15,66,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,13,7.7,66,14,259.08,6280,17,13,66,14,259.08,2020,15,10.34,66,14,259.08,5027,17,13,66,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
8,Female,66,,3/7/24,15:22,1,13,1.9,73,40.64,6280,17,3.3,73,40.64,2020,12,1.63,73,40.64,5027,14,2.15,73,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,11,6.1,73,14,259.08,6280,17,13,73,14,259.08,2020,13,7.7,73,14,259.08,5027,15,10.34,73,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
9,Male,24,,3/8/24,09:12,1,8,0.96,76,40.64,6280,15,2.44,76,40.64,2020,9,0.98,76,40.64,5027,11,1.44,76,40.64,3421,,,,40.64,6670,,,,,,40.64,2250,,,,,,40.64,4890,,,,,,40.64,3230,,,,,,40.64,1690,,,,,,,,40.64,2980,,,,,,,,40.64,6110,,,,,8,4.07,76,14,259.08,6280,17,13,76,14,259.08,2020,14,9,76,14,259.08,5027,15,10.34,76,14,259.08,3421,,,,14,289.56,6110,,,,,,,,14,289.56,10700,,,,,,,,14,289.56,15100,,,,,,,,14,289.56,15188.5,,,,,,,,14,289.56,2318,,,,,,,,55,6060,,,,55,2080,,,,55,4720,,,,55,3270,,,,22.605,1520,,,,
