Quad PM Object Prediction Summary: Perceptual_StanfordQuadStudyDataProcessed0420
================================================================================

Generated: 2026-09-23 23:12:26
Generated by: Quad_PM_by_task
Source CSV: Perceptual_StanfordQuadStudyDataProcessed0420.csv (inferred from tblName; function input is a table)
Model label: 3-factor fixed-effect prediction: log2(PM) ~ log2(VA) + log2(D) + log2(E) + (1|ID)
Sorted by: Mean_PM ascending

Object-Level PM Summary
-----------------------
Mean_PM is mean Ratio_Visual_Angle in the input table.
Predicted_PM_3Factor is the fixed-effect prediction from the 3-factor model, averaged within object.

Object       Visual_Angle    Distance    Elevation    N_Participants    Mean_PM    Predicted_PM_3Factor
---------    ------------    --------    ---------    --------------    -------    --------------------
MoonBall2         1.51494     20.8063     -1.41283                30    1.36762                 1.47605
Stick10           7.14799     23.3256      6.40573                59    1.43955                 1.39871
Stick2            7.31442     20.4406      7.31709                31    1.46531                 1.35658
Lamp5             1.37774     17.1313      9.42581                65    1.56164                 1.61366
MoonBall4        0.963668      32.704    -0.898787                30    1.67689                 1.74054
BlueBall         0.852071      15.215     -2.54262                64    1.73182                 1.49773
MoonBall3        0.667634     47.2028    -0.622703                30    1.80138                 1.99638
Lamp2a            1.03486     22.6742      7.10772                51    1.83358                 1.77172
MoonBall1        0.520008     60.6022    -0.485017                30    1.94604                 2.19548
Lamp6            0.781364     29.9318      5.37841                65    1.96783                 1.94459
Lamp2             1.15268     20.3939      7.90729                30      2.053                 1.71013
Stick4            4.34533     34.2474      4.35845                31    2.08049                  1.6135
Lamp4a           0.720888     32.4216      4.96429                52    2.15695                 1.99766
Stick7            2.71481     61.1554      2.43889                65    2.31416                 1.94222
Lamp3a           0.476173     48.9804       3.2837                52    2.45088                  2.2986
Stick3            2.95491     50.2932      2.96614                31    2.54623                 1.83987
Lamp7            0.381095     61.1644      2.62907                65    2.54689                 2.48163
Stick8            1.55043     107.032      1.39324                65    2.55032                 2.36746
Stick1            2.35893     62.9796      2.36848                31    2.61946                 1.98905
Stick9            1.09868     151.022     0.987363                36     2.7155                 2.68313
Lamp4            0.680641     34.3249       4.6884                30    2.80811                 2.03653
Lamp1a           0.349099      66.759      2.40861                52    2.94297                 2.55829
Stick9a           1.09228     151.907     0.981611                27    3.01764                  2.6889
Lamp3            0.463196     50.3482       3.1944                30    3.30077                 2.32044
Lamp1            0.370779     62.8626        2.558                30    3.31164                 2.50533

