Binned Prediction Error Report: Elevation
=========================================

Generated: 2026-07-16 16:57:20
Generated by: plot_MeanPredictedvsReportedPM_byParams_1model
Figure label: Perceptual_25minID_100iterations
Binning by Elevation minID=25
Binned group table model: predicted_PM_logPM_by_logAngleNDistanceNElevation
Adaptive rebinning used: false

Model Error Across Iterations
-----------------------------
MeanAbsPctError is averaged across included bins within each iteration, then summarized across iterations.

Model                                                MeanAbsPctError    StdAbsPctError    N_Iterations
-------------------------------------------------    ---------------    --------------    ------------
predicted_PM_logPM_by_logAngleNDistanceNElevation            16.3536           3.93555             100

Sorted Error By Bin
-------------------
Rows are binned groups sorted from lowest to highest mean absolute percent error across all iterations.
Only bins with N_ID > 1 are included in plots and reports.
Bias is based on signed percent error averaged across all iterations.
VA, Distance, and Elevation ranges are the ranges of the source rows in each bin.

Rank    Group    N_ID    VA_Range       Distance_Range    Elevation_Range    MeanAbsPctError    StdAbsPctError    Bias         
----    -----    ----    -----------    --------------    ---------------    ---------------    --------------    -------------
   1       21      59    [7.15 7.15]    [23.3 23.3]       [6.4 6.4]                  6.24608           4.37144    Underpredicts
   2       20      65    [0.78 0.78]    [29.9 29.9]       [5.4 5.4]                  7.89546           6.30904    Underpredicts
   3       25      65    [1.38 1.38]    [17.1 17.1]       [9.4 9.4]                  8.21165           6.36879    Overpredicts 
   4       22      51    [1.03 1.03]    [22.7 22.7]       [7.1 7.1]                  8.36042           6.71169    Underpredicts
   5       13      65    [0.38 0.38]    [61.2 61.2]       [2.6 2.6]                  9.86805           7.49999    Underpredicts
   6        6      65    [1.55 1.55]    [107.0 107.0]     [1.4 1.4]                  10.8197           9.04807    Underpredicts
   7       19      52    [0.72 0.72]    [32.4 32.4]       [5.0 5.0]                  10.8294           7.11123    Underpredicts
   8       16      52    [0.48 0.48]    [49.0 49.0]       [3.3 3.3]                  11.5374           7.11882    Underpredicts
   9       23      30    [7.34 7.34]    [20.4 20.4]       [7.3 7.3]                   11.641            7.5895    Underpredicts
  10        3      30    [0.96 0.96]    [32.7 32.7]       [0.9 0.9]                   13.618           10.5305    Overpredicts 
  11        5      36    [1.10 1.10]    [151.0 151.0]     [1.0 1.0]                  13.7734           9.86261    Underpredicts
  12       11      64    [0.85 0.85]    [15.2 15.2]       [2.5 2.5]                  14.1555            8.2216    Underpredicts
  13        9      52    [0.35 0.35]    [66.8 66.8]       [2.4 2.4]                  14.7602           9.62538    Underpredicts
  14        7      30    [1.51 1.51]    [20.8 20.8]       [1.4 1.4]                  15.5685           11.3217    Overpredicts 
  15       10      65    [2.71 2.71]    [61.2 61.2]       [2.4 2.4]                  16.3475           8.67872    Underpredicts
  16       24      30    [1.15 1.15]    [20.4 20.4]       [7.9 7.9]                  18.3035           10.1044    Underpredicts
  17        4      27    [1.09 1.09]    [151.9 151.9]     [1.0 1.0]                  18.7549           13.4238    Underpredicts
  18        2      30    [0.67 0.67]    [47.2 47.2]       [0.6 0.6]                  18.9051           13.7464    Overpredicts 
  19        1      30    [0.52 0.52]    [60.6 60.6]       [0.5 0.5]                  21.6582           17.3056    Overpredicts 
  20       17      30    [4.34 4.34]    [34.3 34.3]       [4.4 4.4]                  24.1357           9.84405    Underpredicts
  21       12      30    [0.37 0.37]    [62.9 62.9]       [2.6 2.6]                  24.4268           12.7422    Underpredicts
  22        8      30    [2.36 2.36]    [62.9 62.9]       [2.4 2.4]                  24.4732           13.6999    Underpredicts
  23       18      30    [0.68 0.68]    [34.3 34.3]       [4.7 4.7]                  27.2465           11.8912    Underpredicts
  24       14      30    [2.95 2.95]    [50.3 50.3]       [3.0 3.0]                  27.9255           10.8579    Underpredicts
  25       15      30    [0.46 0.46]    [50.3 50.3]       [3.2 3.2]                  29.3778            13.201    Underpredicts

