Binned Prediction Error Report: Elevation
=========================================

Generated: 2026-07-16 17:20:35
Generated by: plot_MeanPredictedvsReportedPM_byParams_1model
Figure label: Perceptual_25minNID_3factor
Binning by Elevation minID=25
Binned group table model: predicted_PM_logPM_by_logAngleNDistanceNElevation
Adaptive rebinning used: true

Model Error Across Iterations
-----------------------------
MeanAbsPctError is averaged across included bins within each iteration, then summarized across iterations.

Model                                                MeanAbsPctError    StdAbsPctError    N_Iterations
-------------------------------------------------    ---------------    --------------    ------------
predicted_PM_logPM_by_logAngleNDistanceNElevation            19.7075           2.97193             100

Sorted Error By Bin
-------------------
Rows are binned groups sorted from lowest to highest mean absolute percent error across all iterations.
Only bins with N_ID > 1 are included in plots and reports.
Bias is based on signed percent error averaged across all iterations.
VA, Distance, and Elevation ranges are the ranges of the source rows in each bin.

Rank    Group    N_ID    VA_Range       Distance_Range               Elevation_Range    MeanAbsPctError    StdAbsPctError    Bias         
----    -----    ----    -----------    -------------------------    ---------------    ---------------    --------------    -------------
   1       31      17    [0.49 0.56]    [357252000.0 404420000.0]    [8.0 9.0]                  6.49861             4.778    Overpredicts 
   2       38      34    [0.50 0.56]    [357252000.0 395236000.0]    [25.0 32.0]                6.53442           4.99379    Underpredicts
   3       36      36    [0.50 0.56]    [357252000.0 395236000.0]    [20.0 22.0]                7.60646           5.52462    Underpredicts
   4       26      59    [7.15 7.15]    [23.3 23.3]                  [6.4 6.4]                  7.96272           4.96045    Underpredicts
   5       33      51    [0.50 0.56]    [357252000.0 395236000.0]    [10.0 15.0]                8.01341           5.33084    Underpredicts
   6       32      65    [1.38 1.38]    [17.1 17.1]                  [9.4 9.4]                   8.0394           6.45692    Underpredicts
   7       35      29    [0.49 0.56]    [357252000.0 404420000.0]    [18.0 19.0]                8.32611           5.31316    Underpredicts
   8       24      65    [0.78 0.78]    [29.9 29.9]                  [5.4 5.4]                  9.37462           7.55465    Underpredicts
   9       23      10    [0.49 0.55]    [360805000.0 404420000.0]    [5.0 5.0]                  10.0649           7.15606    Underpredicts
  10       28      51    [1.03 1.03]    [22.7 22.7]                  [7.1 7.1]                  10.1585           7.36635    Underpredicts
  11       25       9    [0.52 0.55]    [360805000.0 381133000.0]    [6.0 6.0]                  11.6223           8.92542    Underpredicts
  12       14      65    [0.38 0.38]    [61.2 61.2]                  [2.6 2.6]                   11.732           8.21565    Underpredicts
  13       27      12    [0.49 0.56]    [357252000.0 404420000.0]    [7.0 7.0]                   12.891            8.4406    Underpredicts
  14       22      52    [0.72 0.72]    [32.4 32.4]                  [5.0 5.0]                  13.9269           7.39617    Underpredicts
  15       18      52    [0.48 0.48]    [49.0 49.0]                  [3.3 3.3]                  14.0113           8.80993    Underpredicts
  16       29      30    [7.34 7.34]    [20.4 20.4]                  [7.3 7.3]                  14.0408           7.87372    Underpredicts
  17       19       5    [0.52 0.55]    [360805000.0 386624000.0]    [3.5 4.0]                  14.8737           14.5952    Underpredicts
  18       39      46    [0.55 0.56]    [357252000.0 361929000.0]    [33.0 46.0]                 15.879           7.57112    Overpredicts 
  19       34      35    [0.49 0.56]    [357252000.0 404420000.0]    [16.0 17.5]                16.4849           6.77374    Underpredicts
  20       12      64    [0.85 0.85]    [15.2 15.2]                  [2.5 2.5]                  16.7247           11.1431    Overpredicts 
  21        5      36    [1.10 1.10]    [151.0 151.0]                [1.0 1.0]                  16.7657           10.5015    Underpredicts
  22        6      65    [1.55 1.55]    [107.0 107.0]                [1.4 1.4]                  18.1344           9.10087    Underpredicts
  23       37      30    [0.50 0.56]    [357252000.0 395236000.0]    [22.5 24.0]                18.5031            8.4634    Overpredicts 
  24        9      52    [0.35 0.35]    [66.8 66.8]                  [2.4 2.4]                  19.2679           11.7668    Underpredicts
  25       30      30    [1.15 1.15]    [20.4 20.4]                  [7.9 7.9]                  19.8904           9.21675    Underpredicts
  26       10      65    [2.71 2.71]    [61.2 61.2]                  [2.4 2.4]                  22.4925           8.42569    Underpredicts
  27        4      27    [1.09 1.09]    [151.9 151.9]                [1.0 1.0]                  26.2334           13.5842    Underpredicts
  28       11       2    [0.52 0.52]    [386624000.0 386624000.0]    [2.5 2.5]                   26.634           11.6983    Underpredicts
  29       20      30    [4.34 4.34]    [34.3 34.3]                  [4.4 4.4]                  26.6856           9.82482    Underpredicts
  30       13      30    [0.37 0.37]    [62.9 62.9]                  [2.6 2.6]                  28.0313           11.5623    Underpredicts
  31        8      30    [2.36 2.36]    [62.9 62.9]                  [2.4 2.4]                     29.9           13.5503    Underpredicts
  32       21      30    [0.68 0.68]    [34.3 34.3]                  [4.7 4.7]                  29.9333           10.5868    Underpredicts
  33       17      30    [0.46 0.46]    [50.3 50.3]                  [3.2 3.2]                  32.0267           11.3548    Underpredicts
  34       15      30    [2.95 2.95]    [50.3 50.3]                  [3.0 3.0]                  32.8057           10.4247    Underpredicts
  35        3      30    [0.96 0.96]    [32.7 32.7]                  [0.9 0.9]                  35.9514           18.8137    Overpredicts 
  36        1      30    [0.52 0.52]    [60.6 60.6]                  [0.5 0.5]                  37.1962           21.6375    Overpredicts 
  37        2      30    [0.67 0.67]    [47.2 47.2]                  [0.6 0.6]                  38.5325           19.0527    Overpredicts 
  38       16       2    [0.52 0.52]    [386624000.0 386624000.0]    [3.0 3.0]                  39.0916           10.0341    Overpredicts 
  39        7      30    [1.51 1.51]    [20.8 20.8]                  [1.4 1.4]                  48.7562           26.4023    Overpredicts 

