Binned Prediction Error Report: Elevation
=========================================

Generated: 2026-07-16 17:21:10
Generated by: plot_MeanPredictedvsReportedPM_byParams_1model
Figure label: Perceptual_25minNID_latentDmoon_absElevation
Binning by Elevation minID=25
Binned group table model: predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation
Adaptive rebinning used: true

Model Error Across Iterations
-----------------------------
MeanAbsPctError is averaged across included bins within each iteration, then summarized across iterations.

Model                                                            MeanAbsPctError    StdAbsPctError    N_Iterations
-------------------------------------------------------------    ---------------    --------------    ------------
predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation            19.8726           3.00484             100

Sorted Error By Bin
-------------------
Rows are binned groups sorted from lowest to highest mean absolute percent error across all iterations.
Only bins with N_ID > 1 are included in plots and reports.
Bias is based on signed percent error averaged across all iterations.
VA, Distance, and Elevation ranges are the ranges of the source rows in each bin.

Rank    Group    N_ID    VA_Range       Distance_Range               Elevation_Range    MeanAbsPctError    StdAbsPctError    Bias         
----    -----    ----    -----------    -------------------------    ---------------    ---------------    --------------    -------------
   1       38      34    [0.50 0.56]    [357252000.0 395236000.0]    [25.0 32.0]                6.89951            4.8174    Underpredicts
   2       36      36    [0.50 0.56]    [357252000.0 395236000.0]    [20.0 22.0]                6.96333           5.52495    Underpredicts
   3       33      51    [0.50 0.56]    [357252000.0 395236000.0]    [10.0 15.0]                7.19066            5.2016    Underpredicts
   4       35      29    [0.49 0.56]    [357252000.0 404420000.0]    [18.0 19.0]                7.51862           5.60011    Underpredicts
   5       31      17    [0.49 0.56]    [357252000.0 404420000.0]    [8.0 9.0]                  7.64449           5.26915    Overpredicts 
   6       32      65    [1.38 1.38]    [17.1 17.1]                  [9.4 9.4]                  8.03489           6.45353    Underpredicts
   7       26      59    [7.15 7.15]    [23.3 23.3]                  [6.4 6.4]                   8.1033           5.00949    Underpredicts
   8       23      10    [0.49 0.55]    [360805000.0 404420000.0]    [5.0 5.0]                  8.97753           6.82411    Underpredicts
   9       24      65    [0.78 0.78]    [29.9 29.9]                  [5.4 5.4]                  9.53961           7.53955    Underpredicts
  10       28      51    [1.03 1.03]    [22.7 22.7]                  [7.1 7.1]                  10.3837           7.39735    Underpredicts
  11       25       9    [0.52 0.55]    [360805000.0 381133000.0]    [6.0 6.0]                  10.9426           8.95715    Underpredicts
  12       14      65    [0.38 0.38]    [61.2 61.2]                  [2.6 2.6]                  11.8813           8.22878    Underpredicts
  13       27      12    [0.49 0.56]    [357252000.0 404420000.0]    [7.0 7.0]                  12.5388            8.4204    Underpredicts
  14       22      52    [0.72 0.72]    [32.4 32.4]                  [5.0 5.0]                  14.1609           7.44642    Underpredicts
  15       29      30    [7.34 7.34]    [20.4 20.4]                  [7.3 7.3]                  14.2081           7.89373    Underpredicts
  16       18      52    [0.48 0.48]    [49.0 49.0]                  [3.3 3.3]                    14.21           8.84574    Underpredicts
  17       34      35    [0.49 0.56]    [357252000.0 404420000.0]    [16.0 17.5]                14.8137            6.7504    Underpredicts
  18       19       5    [0.52 0.55]    [360805000.0 386624000.0]    [3.5 4.0]                  15.6321           16.6167    Underpredicts
  19       12      64    [0.85 0.85]    [15.2 15.2]                  [2.5 2.5]                  16.2905           10.9951    Overpredicts 
  20        5      36    [1.10 1.10]    [151.0 151.0]                [1.0 1.0]                  16.7611           10.5074    Underpredicts
  21       39      46    [0.55 0.56]    [357252000.0 361929000.0]    [33.0 46.0]                16.9291           8.17127    Overpredicts 
  22        6      65    [1.55 1.55]    [107.0 107.0]                [1.4 1.4]                  18.1673           9.07491    Underpredicts
  23        9      52    [0.35 0.35]    [66.8 66.8]                  [2.4 2.4]                  19.4869           11.7598    Underpredicts
  24       30      30    [1.15 1.15]    [20.4 20.4]                  [7.9 7.9]                  20.1909           9.24767    Underpredicts
  25       37      30    [0.50 0.56]    [357252000.0 395236000.0]    [22.5 24.0]                21.8902           9.42521    Overpredicts 
  26       10      65    [2.71 2.71]    [61.2 61.2]                  [2.4 2.4]                  22.5756           8.41259    Underpredicts
  27        4      27    [1.09 1.09]    [151.9 151.9]                [1.0 1.0]                  26.2238           13.5845    Underpredicts
  28       20      30    [4.34 4.34]    [34.3 34.3]                  [4.4 4.4]                  26.8251           9.79445    Underpredicts
  29       13      30    [0.37 0.37]    [62.9 62.9]                  [2.6 2.6]                  28.2328           11.5027    Underpredicts
  30       11       2    [0.52 0.52]    [386624000.0 386624000.0]    [2.5 2.5]                  28.3072           11.3836    Underpredicts
  31        8      30    [2.36 2.36]    [62.9 62.9]                  [2.4 2.4]                  29.9753           13.5299    Underpredicts
  32       21      30    [0.68 0.68]    [34.3 34.3]                  [4.7 4.7]                  30.1897           10.5434    Underpredicts
  33       17      30    [0.46 0.46]    [50.3 50.3]                  [3.2 3.2]                  32.2351           11.3224    Underpredicts
  34       15      30    [2.95 2.95]    [50.3 50.3]                  [3.0 3.0]                  32.9058           10.3912    Underpredicts
  35        3      30    [0.96 0.96]    [32.7 32.7]                  [0.9 0.9]                  35.5913           18.6939    Overpredicts 
  36        1      30    [0.52 0.52]    [60.6 60.6]                  [0.5 0.5]                  36.9343           21.5192    Overpredicts 
  37        2      30    [0.67 0.67]    [47.2 47.2]                  [0.6 0.6]                  38.2247           18.9455    Overpredicts 
  38       16       2    [0.52 0.52]    [386624000.0 386624000.0]    [3.0 3.0]                  42.7187           16.3051    Overpredicts 
  39        7      30    [1.51 1.51]    [20.8 20.8]                  [1.4 1.4]                  48.2779           26.2378    Overpredicts 

