Quad PM Object Prediction Summary: Adjusted_MatchingProcessedData0421
=====================================================================

Generated: 2026-08-25 11:45:05
Generated by: Quad_PM_by_task
Source CSV: Adjusted_MatchingProcessedData0421.csv (inferred from tblName; function input is a table)
Model label: 3-factor fixed-effect prediction: log2(PM) ~ log2(VA) + log2(D) + log2(E) + (1|ID)
Sorted by: Mean_PM ascending

Object-Level PM Summary
-----------------------
Mean_PM is mean Ratio_Visual_Angle in the input table.
Predicted_PM_3Factor is the fixed-effect prediction from the 3-factor model, averaged within object.

Object       Visual_Angle    Distance    Elevation    N_Participants     Mean_PM    Predicted_PM_3Factor
---------    ------------    --------    ---------    --------------    --------    --------------------
MoonBall2         1.51494     20.8119      -1.9385                30     0.84289                0.981056
MoonBall4        0.963668     32.7076     -1.23333                30    0.886109                 1.03089
MoonBall3        0.667634     47.2052    -0.854518                30    0.950063                  1.0798
MoonBall1        0.520008     60.6041    -0.665584                30    0.982695                 1.11798
Stick9            1.09868     151.022     0.987363                36      1.0207                 1.13174
Stick10           7.14799     23.3256      6.40573                59     1.02994                0.950206
Stick7            2.71481     61.1554      2.43889                65     1.05045                 1.02492
Stick2            7.31442     20.4406      7.31709                31     1.07423                0.955253
Stick9a           1.09228     151.907     0.981611                27     1.08187                 1.13259
Stick8            1.55043     107.032      1.39324                65     1.08708                 1.08564
Lamp5             1.37774     17.1313      9.42581                65     1.10019                 1.20677
BlueBall         0.852071      15.215     -2.54262                64     1.13087                 1.06005
Stick3            2.95491     50.2932      2.96614                31     1.13278                 1.02142
Stick1            2.35893     62.9796      2.36848                31     1.15951                 1.04226
Stick4            4.34533     34.2474      4.35845                31      1.2044                0.990279
Lamp2a            1.03486     22.6742      7.10772                51     1.21862                 1.22851
Lamp6            0.781364     29.9318      5.37841                65     1.22204                 1.25197
Lamp2             1.15268     20.3939      7.90729                30     1.23313                  1.2201
Lamp4a           0.720888     32.4216      4.96429                50     1.31711                 1.25915
Lamp3a           0.476173     48.9804       3.2837                51     1.38685                  1.3001
Lamp4            0.680641     34.3249       4.6884                30      1.3927                 1.26441
Lamp7            0.381095     61.1644      2.62907                65     1.43577                 1.32533
Lamp3            0.463196     50.3482       3.1944                30     1.44903                 1.30309
Lamp1a           0.349099      66.759      2.40861                51     1.62512                 1.33599
Lamp1            0.370779     62.8626        2.558                30     1.80457                 1.32862

