Date,Diameter_km,Distance_km,Visual_angle_degrees,N_Participants
05/22/2024,3476,395236,0.503898546412973,12
07/20/2024,3476,374538,0.531744976718754,5
07/21/2024,3476,370233,0.537927917429303,4
08/19/2024,3476,363196,0.54835022801984,8
08/20/2024,3476,360805,0.55198400576911,7
10/16/2024,3476,357488,0.557105582520147,18
10/17/2024,3476,357252,0.557473599616555,29
11/15/2024,3476,361929,0.55026980085631,20
01/12/2025,3476,379144,0.525285207232985,27
01/13/2025,3476,381133,0.522543965315936,18
05/13/2025,3476,404420,0.492455624179242,3
08/07/2025,3476,386624,0.515122672326233,7
08/09/2025,3476,379992,0.524112983510832,6
