Version,Object,Diameter_Height_m,Visual_angle_degrees,Observer_Distance_m,Observer_Elevation_degrees,N_Participants
Version 1,,,,,,
,Lamp bulb 1,0.4060,0.3700,62.86,2.5580,31
,Lamp bulb 2,0.4060,1.1500,20.39,7.9073,31
,Lamp bulb 3,0.4060,0.4600,50.35,3.1944,31
,Lamp bulb 4,0.4060,0.6800,34.32,4.6884,31
,Lamp post 1,2.5910,2.3600,62.98,2.3686,32
,Lamp post 2,2.5910,7.3400,20.44,7.3178,32
,Lamp post 3,2.5910,2.9500,50.29,2.9661,32
,Lamp post 4,2.5910,4.3400,34.25,4.3582,32
,,,,,,
Version 2,,,,,,
,Lamp bulb 1a,0.4060,0.3500,66.76,2.4086,52
,Lamp bulb 2a,0.4060,1.0300,22.67,7.1077,51
,Lamp bulb 3a,0.4060,0.4800,48.98,3.2837,52
,Lamp bulb 4a,0.4060,0.7200,32.42,4.9643,52
,Inflatable moon ball 1,0.5500,0.5200,60.60,-0.4850,30
,Inflatable moon ball 2,0.5500,1.5100,20.81,-1.4128,30
,Inflatable moon ball 3,0.5500,0.6700,47.20,-0.6227,30
,Inflatable moon ball 4,0.5500,0.9600,32.70,-0.8988,30
,,,,,,
Version 3,,,,,,
,Blue ball,0.2260,1.0100,15.21,-2.5426,64
,Lamp bulb 5,0.4060,1.3800,17.13,9.4258,65
,Lamp bulb 6,0.4060,0.7800,29.93,5.3784,65
,Lamp bulb 7,0.4060,0.3800,61.16,2.6291,65
,Lamp post 7,2.8960,2.7100,61.16,2.4389,65
,Lamp post 8,2.8960,1.5500,107.03,1.3932,65
,Lamp post 9,2.8960,1.1000,151.02,0.9874,36
,Lamp post 9a,2.8960,1.0900,151.91,0.9816,27
,Lamp post 10,2.8960,7.1500,23.33,6.4057,59
