"ID","Session","Task","Altitude","Disparity_VA","Reported_Visual_Angle","Real_Visual_Angle","Ratio_Visual_Angle","Distance","Date"
"1000","Lower","Perceptual",12,NA,3.00384656121308,0.5037,5.96356275801683,395235.5743,"May 22"
"1000","Lower","Adjusted",12,NA,0.92441605306587,0.5037,1.83525124690464,395235.5743,"May 22"
"1000","Higher","Perceptual",25,NA,2.56594451159336,0.5037,5.09419200236919,395235.5743,"May 22"
"1000","Higher","Adjusted",25,NA,0.993777986645681,0.5037,1.97295609816494,395235.5743,"May 22"
"1001","Lower","Perceptual",13,NA,2.76768475472488,0.5037,5.49470866532635,395235.5743,"May 22"
"1001","Lower","Adjusted",13,NA,1.51747518058942,0.5037,3.01265670158709,395235.5743,"May 22"
"1001","Higher","Perceptual",21,NA,2.14276119520801,0.5037,4.25404247609292,395235.5743,"May 22"
"1001","Higher","Adjusted",21,NA,1.13857929512271,0.5037,2.26043139790096,395235.5743,"May 22"
"1002","Lower","Perceptual",14,NA,1.02087960763189,0.5037,2.02676118251319,395235.5743,"May 22"
"1002","Lower","Adjusted",14,NA,1.11723229910403,0.5037,2.21805102065521,395235.5743,"May 22"
"1002","Higher","Perceptual",24,NA,0.92441605306587,0.5037,1.83525124690464,395235.5743,"May 22"
"1002","Higher","Adjusted",24,NA,0.916712916000863,0.5037,1.81995814175276,395235.5743,"May 22"
"1003","Lower","Perceptual",16,NA,1.58281662878821,0.5037,3.1423796481799,395235.5743,"May 22"
"1003","Lower","Adjusted",16,NA,1.66666878056282,0.5037,3.30885205591189,395235.5743,"May 22"
"1003","Higher","Perceptual",21,NA,1.90968250774438,0.5037,3.79130932647286,395235.5743,"May 22"
"1003","Higher","Adjusted",21,NA,1.24818011648329,0.5037,2.47802286377464,395235.5743,"May 22"
"1004","Lower","Perceptual",16,NA,1.92657918245142,0.5037,3.8248544420318,395235.5743,"May 22"
"1004","Lower","Adjusted",16,NA,1.20102262889449,0.5037,2.38440069266328,395235.5743,"May 22"
"1004","Higher","Perceptual",22,NA,1.42647429247901,0.5037,2.83199184530278,395235.5743,"May 22"
"1004","Higher","Adjusted",22,NA,1.08378932557165,0.5037,2.15165639382897,395235.5743,"May 22"
"1005","Lower","Perceptual",16,NA,2.13430181664235,0.5037,4.23724799809876,395235.5743,"May 22"
"1005","Lower","Adjusted",16,NA,3.34275656961374,0.5037,6.63640375146663,395235.5743,"May 22"
"1005","Higher","Perceptual",24,NA,1.27087245618219,0.5037,2.52307416355409,395235.5743,"May 22"
"1005","Higher","Adjusted",24,NA,1.66666878056282,0.5037,3.30885205591189,395235.5743,"May 22"
"1006","Lower","Perceptual",17,NA,1.85390391059879,0.5037,3.68057159142106,395235.5743,"May 22"
"1006","Lower","Adjusted",17,NA,2.15351550231775,0.5037,4.27539309572711,395235.5743,"May 22"
"1006","Higher","Perceptual",23,NA,0.92143803714611,0.5037,1.82933896594423,395235.5743,"May 22"
"1006","Higher","Adjusted",23,NA,1.75244015584876,0.5037,3.47913471480794,395235.5743,"May 22"
"1007","Lower","Perceptual",17.5,NA,1.69791428859007,0.5037,3.37088403531878,395235.5743,"May 22"
"1007","Lower","Adjusted",17.5,NA,2.22960839665677,0.5037,4.42646098204639,395235.5743,"May 22"
"1007","Higher","Perceptual",22.5,NA,1.18975896599639,0.5037,2.36203884454316,395235.5743,"May 22"
"1007","Higher","Adjusted",22.5,NA,1.25469541964351,0.5037,2.49095775192279,395235.5743,"May 22"
"1008","Lower","Perceptual",18,NA,1.13656193244754,0.5037,2.25642631019961,395235.5743,"May 22"
"1008","Lower","Adjusted",18,NA,1.0392902942167,0.5037,2.06331207904844,395235.5743,"May 22"
"1008","Higher","Perceptual",23,NA,0.928076631804784,0.5037,1.8425186257788,395235.5743,"May 22"
"1008","Higher","Adjusted",23,NA,1.05773819557891,0.5037,2.09993685840561,395235.5743,"May 22"
"1009","Lower","Perceptual",18,NA,2.16090041902653,0.5037,4.29005443523235,395235.5743,"May 22"
"1009","Lower","Adjusted",18,NA,1.90155769412303,0.5037,3.77517906317854,395235.5743,"May 22"
"1009","Higher","Perceptual",24,NA,1.59634323327247,0.5037,3.16923413395369,395235.5743,"May 22"
"1009","Higher","Adjusted",24,NA,1.93447889777264,0.5037,3.84053781570903,395235.5743,"May 22"
"1010","Lower","Perceptual",19,NA,0.863572212223388,0.5037,1.71445743939525,395235.5743,"May 22"
"1010","Lower","Adjusted",19,NA,2.29152567635021,0.5037,4.54938589706215,395235.5743,"May 22"
"1010","Higher","Perceptual",23,NA,0.948322286999679,0.5037,1.88271250148834,395235.5743,"May 22"
"1010","Higher","Adjusted",23,NA,1.46040158300759,0.5037,2.89934799088265,395235.5743,"May 22"
