ID Number,Gender,Age,Date,Moon Diameter (km),Moon Distance (km),Time,Round 1 Estimate Template Number,Round 1 Estimate Template Size (cm),Round 1 Estimate Distance (cm),Round 1 Final Moon,Round 1 Adjusted Template Size (cm),Round 1 Adjusted Distance (cm),Elevation (deg),Round 1 Caliper Aperture (cm),Round 1 Caliper Distance (cm),Round 2 Estimate Template Number,Round 2 Estimate Template Size (cm),Round 2 Estimate Distance (cm),Round 2 Final Moon,Round 2 Adjusted Template Size (cm),Round 2 Adjusted Distance (cm),Time,Elevation (deg) ,Round 2 Caliper Aperture (cm),Round 2 Caliper Distance (cm)
1000,Female,19,5/22/2024,3476,395236,9:19:00 PM,14,2.15,41.00,8,0.96,59.50,12.00,,,14,2.15,48.00,9,0.98,56.50,11:25:00 PM,25.00,,
1001,Male,24,5/22/2024,3476,395236,9:25:00 PM,14,2.15,44.50,9,0.98,37.00,13.00,,,11,1.44,38.50,7,0.78,39.25,10:35:00 PM,21.00,,
1002,Male,19,5/22/2024,3476,395236,9:30:00 PM,9,0.98,55.00,7,0.78,40.00,14.00,,,8,0.96,59.50,6,0.72,45.00,11:07:00 PM,24.00,,
1003,Female,19,5/22/2024,3476,395236,9:45:00 PM,12,1.63,59.00,11,1.44,49.50,16.00,,,13,1.90,57.00,10,1.22,56.00,10:38:00 PM,21.00,,
1004,Female,18,5/22/2024,3476,395236,9:48:00 PM,13,1.90,56.50,9,0.98,46.75,16.00,,,10,1.22,49.00,8,0.96,50.75,10:43:00 PM,22.00,,
1005,Male,19,5/22/2024,3476,395236,9:52:00 PM,13,1.90,51.00,8,0.96,16.45,16.00,,,10,1.22,55.00,8,0.96,33.00,11:02:00 PM,24.00,,
1006,Female,18,5/22/2024,3476,395236,9:56:00 PM,11,1.44,44.50,7,0.78,20.75,17.00,,,7,0.78,48.50,7,0.78,25.50,10:51:00 PM,23.00,,
1007,Female,18,5/22/2024,3476,395236,10:00:00 PM,12,1.63,55.00,11,1.44,37.00,17.50,,,10,1.22,58.75,9,0.98,44.75,10:48:00 PM,22.50,,
1008,Female,19,5/22/2024,3476,395236,10:03:00 PM,10,1.22,61.50,7,0.78,43.00,18.00,,,9,0.98,60.50,8,0.96,52.00,10:53:00 PM,23.00,,
1009,Male,18,5/22/2024,3476,395236,10:07:00 PM,14,2.15,57.00,7,0.78,23.50,18.00,,,12,1.63,58.50,5,0.65,19.25,11:10:00 PM,24.00,,
