ID Number,Round 1 Estimated Moon,arm length (cm),Round 1 First Moon Picked ,Round 1 Final Moon,arm length (cm),Time,Altitude,"Plus Sign (0 = N, Y = 1)",Lower Elevation Disparity(cm),Lower Elevation Disparity Arm Length (cm),Round 2 Estimated Moon,arm length (cm),Round 2 First Moon Picked ,Round 2 Final Moon,arm length (cm),Time,Altitude ,Higher Elevation Disparity (cm),Higher Elevation Disparity Arm Length (cm),Date
32131,13,72.00,13,7,47.00,5:10:00 PM,4.00,1,,,7,66.00,7,7,40.00,6:52 PM,23.00,5.92,46.00,"November 11, 2024"
31948,13,68.00,13,8,45.00,5:12:00 PM,5.00,,,,,,,,,,,,,"November 11, 2024"
1083,13,74.00,9,6,30.50,5:14:00 PM,5.00,1,,,,,,,,7:19 PM,28.00,5.22,52.00,"November 11, 2024"
32002,10,76.50,10,6,44.25,5:16:00 PM,5.00,1,,,,,,,,,,,,"November 11, 2024"
32245,7,61.00,7,8,43.00,5:18:00 PM,6.00,1,,,6,65.00,6,7,40.50,6:55 PM,23.00,,,"November 11, 2024"
31924,14,70.00,14,8,52.00,5:20:00 PM,6.00,1,,,12,77.00,10,9,48.00,7:00 PM,24.00,6.64,45.00,"November 11, 2024"
1084,11,60.50,11,10,46.00,5:22:00 PM,6.00,0,,,12,66.00,12,10,41.00,7:01 PM,25.00,2.70,41.00,"November 11, 2024"
31504,12,83.50,12,9,54.50,5:24:00 PM,7.00,1,,,6,79.00,6,7,46.00,18:54,23.00,6.16,48.00,"November 11, 2024"
1085,15,81.50,15,10,51.50,5:26:00 PM,7.00,1,,,,,,,,,,,,"November 11, 2024"
1066,14,69.50,14,11,50.50,5:37:00 PM,9.00,1,,,12,66.00,12,9,52.00,6:58 PM,24.00,5.09,47.00,"November 11, 2024"
1072,9,61.50,9,9,45.50,5:39:00 PM,10.00,1,,,10,68.00,10,9,44.00,18:48,22.00,,,"November 11, 2024"
1056,9,76.00,8,7,46.75,5:51:00 PM,11.00,1,,,9,79.00,6,7,44.00,6:57 PM,24.00,6.94,39.00,"November 11, 2024"
1087,14,62.00,14,9,42.50,5:59:00 PM,13.00,1,,,12,63.00,11,10,43.00,,,5.89,42.50,"November 11, 2024"
1088,16,72.00,16,10,50.50,6:03 PM,14.00,1,,,9,76.00,9,9,54.00,7:31 PM,30.00,3.37,55.00,"November 11, 2024"
1089,12,68.00,12,7,50.50,6:07:00 PM,14.00,0,,,11,68.00,8,6,45.00,,,6.81,42.00,"November 11, 2024"
1090,12,85.00,13,10,51.00,6:01:00 PM,13.00,1,,,13,78.00,13,11,47.00,7:25 PM,29.00,6.15,44.00,"November 11, 2024"
1082,10,69.00,10,9,56.00,6:11 PM,15.00,1,,,10,79.00,10,8,52.00,7:34 PM,31.00,6.91,49.00,"November 11, 2024"
1091,16,55.00,14,10,48.00,6:15:00 PM,16.00,1,,,10,55.00,10,10,49.00,,,1.07,54.00,"November 11, 2024"
1092,15,78.00,15,15,49.00,6:20:00 PM,17.00,1,,,14,75.00,13,13,50.00,7:38 PM,32.00,1.89,49.00,"November 11, 2024"
31459,11,71.00,11,7,49.00,6:22:00 PM,17.00,1,,,9,62.00,9,7,48.00,,,,,"November 11, 2024"
5000,13,67.50,,5,47.25,1632,5.00,,5.79,45.40,7,58.75,,7,35.50,,18.00,5.46,45.80,"January 12, 2025"
6875341,10,71.25,,10,71.25,,6.00,,6.22,47.50,9,77.00,,5,45.00,,17.00,6.53,43.30,
32437,11,78.00,,11,78.00,,6.00,,6.00,34.10,5,74.50,,5,44.00,,20.00,6.15,38.80,
6875476,10,77.25,,10,77.25,,7.00,,6.07,43.40,3,77.00,,8,49.00,,21.00,6.47,42.00,
6873834,17,69.00,,17,69.00,,7.00,,2.30,42.30,16,65.00,,15,46.00,,21.00,5.32,42.90,
5001,12,82.25,,12,82.25,,7.00,,6.43,41.00,5,73.50,,7,47.50,,21.00,6.56,43.40,
5002,11,84.00,,11,84.00,,8.00,,5.85,50.80,10,73.00,,6,51.00,,20.00,7.55,46.00,
5003,14,73.00,,14,73.00,,8.00,,6.47,43.80,12,68.50,,10,48.00,,21.00,6.40,28.06,
5004,5,69.00,,5,69.00,,9.00,,6.52,43.30,6,70.50,,6,38.75,,22.00,6.81,40.10,
5005,16,69.00,,16,69.00,,9.00,,4.63,47.80,13,69.00,,12,44.50,,24.00,6.21,43.10,
5006,11,77.50,,11,77.50,,10.00,,6.61,55.00,10,78.50,,10,54.00,,19.00,6.59,51.50,
5007,,,,,,,,,6.74,50.30,11,91.00,,10,65.00,,29.00,6.61,47.50,
5008,10,86.00,,13,86.00,,10.00,,6.19,50.20,,,,,,,,,,
5009,11,73.50,,11,73.50,,11.00,,7.56,49.70,9,71.00,,7,56.00,,22.00,7.69,48.20,
5010,11,72.50,,14,72.50,,11.00,,6.40,39.30,10,72.00,,6,45.75,,25.00,6.45,35.50,
5011,11,76.50,,15,76.50,,11.00,,5.41,39.50,14,69.00,,6,34.25,,23.00,5.12,33.10,
5012,12,83.00,,12,83.00,,12.00,,6.88,46.80,12,86.25,,9,52.00,,23.00,6.84,54.40,
5013,12,73.50,,16,73.50,,12.00,,3.44,42.20,14,70.50,,11,46.75,,27.00,6.93,43.10,
5014,12,80.00,,13,80.00,,12.00,,6.85,37.10,11,76.75,,7,46.50,,28.00,7.25,36.70,
5015,13,73.50,,11,73.50,,13.00,,6.50,43.30,10,76.50,,5,34.00,,28.00,6.70,38.50,
5016,13,74.50,,17,74.50,,13.00,,5.78,36.60,16,72.50,,9,50.00,,28.00,6.60,36.60,
32614,14,80.00,,11,80.00,,14.00,,6.17,42.20,10,76.00,,5,34.00,,29.00,6.20,35.30,
5018,15,70.00,,14,70.00,,15.00,,6.51,41.10,8,75.50,,6,44.25,,25.00,6.55,35.00,
5019,16,74.50,,7,74.50,,16.00,,7.08,44.90,4,72.00,,6,48.00,,26.00,6.94,45.80,
5020,16,77.50,,12,77.50,,16.00,,4.31,38.30,8,73.50,,9,44.00,,30.00,4.39,37.70,
5021,17,79.25,,13,79.25,,17.00,,5.93,40.10,9,74.50,,9,44.25,,30.00,7.03,44.00,
5022,17,71.00,,12,71.00,,17.00,,4.56,32.30,11,72.00,,7,39.00,,28.00,3.55,19.10,
5023,17,60.50,,17,60.50,,5.00,,6.78,49.70,14,53.50,,10,49.50,,21.00,6.79,49.30,"January 13, 2025"
32329,14,55.50,,14,55.50,,5.00,,6.56,46.50,11,51.50,,8,45.50,,19.00,6.57,42.30,
5025,12,63.00,,12,63.00,,6.00,,7.10,54.60,10,58.50,,5,26.50,,18.00,7.04,44.60,
5026,13,50.50,,13,50.50,,6.00,,5.98,45.70,12,48.50,,7,45.50,,18.00,5.83,44.90,
5027,18,58.00,,18,58.00,,7.00,,4.57,49.10,16,54.30,,10,52.00,,20.00,4.55,45.50,
5028,7,42.00,,7,42.00,,7.00,,5.09,49.00,7,55.00,,7,47.00,,19.00,6.57,46.60,
5029,11,51.50,,11,51.50,,8.00,,1.56,45.60,,,,,,,,,,
