ID,Session,Task,Altitude,Disparity_VA,Reported_Visual_Angle,Real_Visual_Angle,Ratio_Visual_Angle,Distance,Date
1000,Lower,Perceptual,12,,3.003846561,0.5039,5.961195795,395235.5743,May 22nd
1000,Lower,Adjusted,12,,0.924416053,0.5039,1.834522828,395235.5743,May 22nd
1000,Higher,Perceptual,25,,2.565944512,0.5039,5.092170096,395235.5743,May 22nd
1000,Higher,Adjusted,25,,0.993777987,0.5039,1.972173024,395235.5743,May 22nd
1001,Lower,Perceptual,13,,2.767684755,0.5039,5.492527793,395235.5743,May 22nd
1001,Lower,Adjusted,13,,1.517475181,0.5039,3.011460966,395235.5743,May 22nd
1001,Higher,Perceptual,21,,2.142761195,0.5039,4.252354029,395235.5743,May 22nd
1001,Higher,Adjusted,21,,1.138579295,0.5039,2.259534223,395235.5743,May 22nd
1002,Lower,Perceptual,14,,1.020879608,0.5039,2.025956753,395235.5743,May 22nd
1002,Lower,Adjusted,14,,1.117232299,0.5039,2.217170667,395235.5743,May 22nd
1002,Higher,Perceptual,24,,0.924416053,0.5039,1.834522828,395235.5743,May 22nd
1002,Higher,Adjusted,24,,0.916712916,0.5039,1.819235793,395235.5743,May 22nd
1003,Lower,Perceptual,16,,1.582816629,0.5039,3.141132425,395235.5743,May 22nd
1003,Lower,Adjusted,16,,1.666668781,0.5039,3.307538759,395235.5743,May 22nd
1003,Higher,Perceptual,21,,1.909682508,0.5039,3.78980454,395235.5743,May 22nd
1003,Higher,Adjusted,21,,1.248180116,0.5039,2.477039326,395235.5743,May 22nd
1004,Lower,Perceptual,16,,1.926579182,0.5039,3.823336341,395235.5743,May 22nd
1004,Lower,Adjusted,16,,1.201022629,0.5039,2.383454314,395235.5743,May 22nd
1004,Higher,Perceptual,22,,1.426474292,0.5039,2.830867816,395235.5743,May 22nd
1004,Higher,Adjusted,22,,1.083789326,0.5039,2.150802392,395235.5743,May 22nd
1005,Lower,Perceptual,16,,2.134301817,0.5039,4.235566217,395235.5743,May 22nd
1005,Lower,Adjusted,16,,3.34275657,0.5039,6.633769735,395235.5743,May 22nd
1005,Higher,Perceptual,24,,1.270872456,0.5039,2.522072745,395235.5743,May 22nd
1005,Higher,Adjusted,24,,1.666668781,0.5039,3.307538759,395235.5743,May 22nd
1006,Lower,Perceptual,17,,1.853903911,0.5039,3.679110757,395235.5743,May 22nd
1006,Lower,Adjusted,17,,2.153515502,0.5039,4.273696174,395235.5743,May 22nd
1006,Higher,Perceptual,23,,0.921438037,0.5039,1.828612894,395235.5743,May 22nd
1006,Higher,Adjusted,23,,1.752440156,0.5039,3.477753832,395235.5743,May 22nd
1007,Lower,Perceptual,17.5,,1.697914289,0.5039,3.369546117,395235.5743,May 22nd
1007,Lower,Adjusted,17.5,,2.229608397,0.5039,4.424704101,395235.5743,May 22nd
1007,Higher,Perceptual,22.5,,1.189758966,0.5039,2.361101342,395235.5743,May 22nd
1007,Higher,Adjusted,22.5,,1.25469542,0.5039,2.48996908,395235.5743,May 22nd
1008,Lower,Perceptual,18,,1.136561932,0.5039,2.255530725,395235.5743,May 22nd
1008,Lower,Adjusted,18,,1.039290294,0.5039,2.062493142,395235.5743,May 22nd
1008,Higher,Perceptual,23,,0.928076632,0.5039,1.841787322,395235.5743,May 22nd
1008,Higher,Adjusted,23,,1.057738196,0.5039,2.099103385,395235.5743,May 22nd
1009,Lower,Perceptual,18,,2.160900419,0.5039,4.288351695,395235.5743,May 22nd
1009,Lower,Adjusted,18,,1.901557694,0.5039,3.773680679,395235.5743,May 22nd
1009,Higher,Perceptual,24,,1.596343233,0.5039,3.167976252,395235.5743,May 22nd
1009,Higher,Adjusted,24,,1.934478898,0.5039,3.83901349,395235.5743,May 22nd
1010,Lower,Perceptual,19,,0.863572212,0.5039,1.713776964,395235.5743,May 22nd
1010,Lower,Adjusted,19,,2.291525676,0.5039,4.547580227,395235.5743,May 22nd
1010,Higher,Perceptual,23,,0.948322287,0.5039,1.881965245,395235.5743,May 22nd
1010,Higher,Adjusted,23,,1.460401583,0.5039,2.898197228,395235.5743,May 22nd
1011,Lower,Perceptual,19,,1.713489173,0.5039,3.400454798,395235.5743,May 22nd
1011,Lower,Adjusted,19,,2.661002958,0.5039,5.280815554,395235.5743,May 22nd
1011,Higher,Perceptual,25,,1.127396704,0.5039,2.23734214,395235.5743,May 22nd
1011,Higher,Adjusted,25,,2.613038694,0.5039,5.185629478,395235.5743,May 22nd
1012,Lower,Perceptual,7.5,,1.311532863,0.5317,2.46667832,374537.8,Jul 20th
1012,Lower,Adjusted,7.5,,1.215621372,0.5317,2.28629184,374537.8,Jul 20th
1012,Higher,Perceptual,16,,1.182136805,0.5317,2.223315413,374537.8,Jul 20th
1012,Higher,Adjusted,16,,1.069490163,0.5317,2.011454135,374537.8,Jul 20th
1013,Lower,Perceptual,8,,2.218797309,0.5317,4.173024842,374537.8,Jul 20th
1013,Lower,Adjusted,8,,0.793313504,0.5317,1.492032168,374537.8,Jul 20th
1013,Higher,Perceptual,17,,1.212839393,0.5317,2.281059607,374537.8,Jul 20th
1013,Higher,Adjusted,17,,1.170256088,0.5317,2.200970638,374537.8,Jul 20th
1014,Lower,Perceptual,9,,1.13018147,0.5317,2.125599905,374537.8,Jul 20th
1014,Lower,Adjusted,9,,1.13018147,0.5317,2.125599905,374537.8,Jul 20th
1014,Higher,Perceptual,19,,0.884803315,0.5317,1.664102529,374537.8,Jul 20th
1014,Higher,Adjusted,19,,1.31882575,0.5317,2.480394489,374537.8,Jul 20th
1015,Lower,Perceptual,10,,1.250040148,0.5317,2.351025293,374537.8,Jul 20th
1015,Lower,Adjusted,10,,0.677124059,0.5317,1.273507727,374537.8,Jul 20th
1015,Higher,Perceptual,19,,0.99855831,0.5317,1.878048354,374537.8,Jul 20th
1015,Higher,Adjusted,19,,0.841882021,0.5317,1.583377884,374537.8,Jul 20th
1016,Lower,Perceptual,10,,1.838438161,0.5317,3.457660638,374537.8,Jul 20th
1016,Lower,Adjusted,10,,1.738875801,0.5317,3.270407751,374537.8,Jul 20th
1016,Higher,Perceptual,19,,1.343709929,0.5317,2.527195654,374537.8,Jul 20th
1016,Higher,Adjusted,19,,4.627444996,0.5317,8.703112649,374537.8,Jul 20th
1017,Lower,Perceptual,10,,2.241722751,0.5317,4.216142093,374537.8,Jul 20th
1017,Lower,Adjusted,10,,1.090255721,0.5317,2.050509162,374537.8,Jul 20th
1017,Higher,Perceptual,19,,0.984494805,0.5317,1.85159828,374537.8,Jul 20th
1017,Higher,Adjusted,19,,1.079773117,0.5317,2.030793901,374537.8,Jul 20th
1018,Lower,Perceptual,11,,1.162015415,0.5379,2.160281493,370232.8059,Jul 21th
1018,Lower,Adjusted,11,,0.93103593,0.5379,1.730871779,370232.8059,Jul 21th
1018,Higher,Perceptual,19,,0.89124971,0.5379,1.656905949,370232.8059,Jul 21th
1018,Higher,Adjusted,19,,0.921833997,0.5379,1.713764634,370232.8059,Jul 21th
1019,Lower,Perceptual,11,,2.259999153,0.5379,4.201522872,370232.8059,Jul 21th
1019,Lower,Adjusted,11,,1.064033895,0.5379,1.978125851,370232.8059,Jul 21th
1019,Higher,Perceptual,17,,1.48650981,0.5379,2.763543056,370232.8059,Jul 21th
1019,Higher,Adjusted,17,,0.871147116,0.5379,1.619533587,370232.8059,Jul 21th
1020,Lower,Perceptual,12,,1.279290968,0.5379,2.378306317,370232.8059,Jul 21th
1020,Lower,Adjusted,12,,0.792375811,0.5379,1.473091301,370232.8059,Jul 21th
1020,Higher,Perceptual,20,,1.044349851,0.5379,1.941531606,370232.8059,Jul 21th
1020,Higher,Adjusted,20,,0.866082501,0.5379,1.610118054,370232.8059,Jul 21th
1021,Lower,Perceptual,9,,1.441804455,0.5379,2.680432153,370232.8059,Jul 21th
1021,Lower,Adjusted,9,,0.977824236,0.5379,1.817855059,370232.8059,Jul 21th
1021,Higher,Perceptual,20,,1.441804455,0.5379,2.680432153,370232.8059,Jul 21th
1021,Higher,Adjusted,20,,0.973497789,0.5379,1.809811841,370232.8059,Jul 21th
1022,Lower,Perceptual,10,,3.227077866,0.5485,5.883460102,363080.881,Aug 19th
1022,Lower,Adjusted,10,,1.145877395,0.5485,2.089111022,363080.881,Aug 19th
1022,Higher,Perceptual,20,,2.035293909,0.5485,3.710654347,363080.881,Aug 19th
1022,Higher,Adjusted,20,,1.205142653,0.5485,2.197160717,363080.881,Aug 19th
1023,Lower,Perceptual,11,,1.653387617,0.5485,3.014380341,363080.881,Aug 19th
1023,Lower,Adjusted,11,,1.011682974,0.5485,1.844453918,363080.881,Aug 19th
1023,Higher,Perceptual,23,,1.315324211,0.5485,2.398038672,363080.881,Aug 19th
1023,Higher,Adjusted,23,,0.948322287,0.5485,1.728937624,363080.881,Aug 19th
53,Lower,Perceptual,13,,0.802127812,0.5485,1.462402574,363080.881,Aug 19th
53,Lower,Adjusted,13,,1.306501348,0.5485,2.381953233,363080.881,Aug 19th
53,Higher,Perceptual,23.5,,0.639574153,0.5485,1.166042212,363080.881,Aug 19th
53,Higher,Adjusted,23.5,,1.231685623,0.5485,2.24555264,363080.881,Aug 19th
1025,Lower,Perceptual,4,,1.149869732,0.552,2.083097341,360805.269,Aug 20th
1025,Lower,Adjusted,4,,1.145877395,0.552,2.075864847,360805.269,Aug 20th
1025,Higher,Perceptual,16,,0.662077196,0.552,1.19941521,360805.269,Aug 20th
