"ID","Measurement_Type","Reported_Visual_Angle","Task","Disparity_VA","Real_Visual_Angle","Ratio_Visual_Angle","Distance"
"1","Stick1_Perceptual_VA",5.88687426353551,"Perceptual",NA,2.537,2.32040767187052,6280
"1","Stick1_Adjusted_VA",3.01639732989873,"Adjusted",NA,2.537,1.18896229006651,6280
"1","Stick2_Perceptual_VA",9.38572501117968,"Perceptual",NA,7.848,1.19593845708202,2020
"1","Stick2_Adjusted_VA",6.44140992065572,"Adjusted",NA,7.848,0.820770886933705,2020
"1","Stick3_Perceptual_VA",4.41898999209993,"Perceptual",NA,3.17,1.394003152082,5027
"1","Stick3_Adjusted_VA",4.41171609816193,"Adjusted",NA,3.17,1.39170854831607,5027
"1","Stick4_Perceptual_VA",6.57750564887419,"Perceptual",NA,4.653,1.41360534039849,3421
"1","Stick4_Adjusted_VA",5.08452583176158,"Adjusted",NA,4.653,1.09274142096746,3421
"1","Lamp1_Perceptual_VA",1.04326745830232,"Perceptual",NA,0.2737,3.81171888309215,6280
"1","Lamp1_Adjusted_VA",0.645393910516099,"Adjusted",NA,0.2737,2.35803401723091,6280
"1","Lamp2_Perceptual_VA",1.62469681337902,"Perceptual",NA,0.8509,1.90938631258552,2020
"1","Lamp2_Adjusted_VA",1.24135999517374,"Adjusted",NA,0.8509,1.45887882850363,2020
"1","Lamp3_Perceptual_VA",1.23138427952127,"Perceptual",NA,0.3419,3.60159192606398,5027
"1","Lamp3_Adjusted_VA",1.03978375730432,"Adjusted",NA,0.3419,3.0411926215394,5027
"1","Lamp4_Perceptual_VA",1.39384350283648,"Perceptual",NA,0.5024,2.7743700295312,3421
"1","Lamp4_Adjusted_VA",1.61765572140995,"Adjusted",NA,0.5024,3.21985613337968,3421
"1","Lamp1a_Perceptual_VA",NA,"Perceptual",NA,0.2577,NA,6670
"1","Lamp1a_Adjusted_VA",NA,"Adjusted",NA,0.2577,NA,6670
"1","Lamp2a_Perceptual_VA",NA,"Perceptual",NA,0.7639,NA,2250
