ID,Gender,Date,Time,Age,Measurement,Reported_Visual_Angle,Real_Visual_Angle,Task,Ratio_Visual_Angle,Disparity_VA_1,Disparity_VA_2,Distance,Width
1,Male,2/16/2024,9:00,56,Stick1_Perceptual_VA,5.212882542,2.36338945,Perceptual,2.205680719,NA,NA,6280,14
1,Male,2/16/2024,9:00,56,Stick1_Adjusted_VA,3.01639733,2.36338945,Adjusted,1.276301428,NA,NA,6280,14
1,Male,2/16/2024,9:00,56,Stick2_Perceptual_VA,7.684906256,7.338560272,Perceptual,1.047195359,NA,NA,2020,14
1,Male,2/16/2024,9:00,56,Stick2_Adjusted_VA,6.441409921,7.338560272,Adjusted,0.8777484523,NA,NA,2020,14
1,Male,2/16/2024,9:00,56,Stick3_Perceptual_VA,4.418989992,2.952239146,Perceptual,1.496826569,NA,NA,5027,14
1,Male,2/16/2024,9:00,56,Stick3_Adjusted_VA,4.411716098,2.952239146,Adjusted,1.494362713,NA,NA,5027,14
1,Male,2/16/2024,9:00,56,Stick4_Perceptual_VA,5.886874264,4.337065743,Perceptual,1.357340334,NA,NA,3421,14
1,Male,2/16/2024,9:00,56,Stick4_Adjusted_VA,5.084525832,4.337065743,Adjusted,1.172342347,NA,NA,3421,14
1,Male,2/16/2024,9:00,56,Lamp1_Perceptual_VA,1.043267458,0.3707790372,Perceptual,2.813717481,NA,NA,6280,40.64
1,Male,2/16/2024,9:00,56,Lamp1_Adjusted_VA,0.6453939105,0.3707790372,Adjusted,1.740642932,NA,NA,6280,40.64
1,Male,2/16/2024,9:00,56,Lamp2_Perceptual_VA,1.624696813,1.15268413,Perceptual,1.409490051,NA,NA,2020,40.64
1,Male,2/16/2024,9:00,56,Lamp2_Adjusted_VA,1.241359995,1.15268413,Adjusted,1.076929892,NA,NA,2020,40.64
1,Male,2/16/2024,9:00,56,Lamp3_Perceptual_VA,1.23138428,0.4631962995,Perceptual,2.658450166,NA,NA,5027,40.64
