ID,Gender,Age,Notes,Date,Time,Lamp1 Estimate Template Number,Lamp1 Estimate Template Size (cm),Lamp1 Estimate Distance (cm),Lamp1 Adjusted Template Number,Lamp1 Adjusted Template Size (cm),Lamp1 Adjusted Distance (cm),Lamp1 Width (cm),Lamp1 Distance (cm),Lamp2 Estimate Template Number,Lamp2 Estimate Template Size (cm),Lamp2 Estimate Distance (cm),Lamp2 Adjusted Template Number,Lamp2 Adjusted Template Size (cm),Lamp2 Adjusted Distance (cm),Lamp2 Width (cm),Lamp2 Distance (cm),Lamp3 Estimate Template Number,Lamp3 Estimate Template Size (cm),Lamp3 Estimate Distance (cm),Lamp3 Adjusted Template Number,Lamp3 Adjusted Template Size (cm),Lamp3 Adjusted Distance (cm),Lamp3 Width (cm),Lamp3 Distance (cm),Lamp4 Estimate Template Number,Lamp4 Estimate Template Size (cm),Lamp4 Estimate Distance (cm),Lamp4 Adjusted Template Number,Lamp4 Adjusted Template Size (cm),Lamp4 Adjusted Distance (cm),Lamp4 Width (cm),Lamp4 Distance (cm),Lamp1a Estimate Template Number,Lamp1a Estimate Template Size (cm),Lamp1a Estimate Distance (cm),Lamp1a Adjusted Template Number,Lamp1a Adjusted Template Size (cm),Lamp1a Adjusted Distance (cm),Lamp1a Width (cm),Lamp1a Distance (cm),Lamp1a 1st Caliper Aperture (cm),Lamp1a 1st Caliper Distance (cm),Lamp2a Estimate Template Number,Lamp2a Estimate Template Size (cm),Lamp2a Estimate Distance (cm),Lamp2a Adjusted Template Number,Lamp2a Adjusted Template Size (cm),Lamp2a Adjusted Distance (cm),Lamp2a Width (cm),Lamp2a Distance (cm),Lamp2a 1st Caliper Aperture (cm),Lamp2a 1st Caliper Distance (cm),Lamp3a Estimate Template Number,Lamp3a Estimate Template Size (cm),Lamp3a Estimate Distance (cm),Lamp3a Adjusted Template Number,Lamp3a Adjusted Template Size (cm),Lamp3a Adjusted Distance (cm),Lamp3a Width (cm),Lamp3a Distance (cm),Lamp3a 1st Caliper Aperture (cm),Lamp3a 1st Caliper Distance (cm),Lamp4a Estimate Template Number,Lamp4a Estimate Template Size (cm),Lamp4a Estimate Distance (cm),Lamp4a Adjusted Template Number,Lamp4a Adjusted Template Size (cm),Lamp4a Adjusted Distance (cm),Lamp4a Width (cm),Lamp4a Distance (cm),Lamp4a 1st Caliper Aperture (cm),Lamp4a 1st Caliper Distance (cm),Lamp5 Estimate Template Number,Lamp5 Estimate Template Size (cm),Lamp5 Estimate Distance (cm),Lamp5 Adjusted Template Number,Lamp5 Adjusted Template Size (cm),Lamp5 Adjusted Distance (cm),Lamp5 Width (cm),Lamp5 Distance (cm),Lamp5 1st Caliper Aperture (cm),Lamp5 1st Caliper Distance (cm),Lamp5 2nd Caliper Aperture (cm),Lamp5 2nd Caliper Distance (cm),Lamp6 Estimate Template Number,Lamp6 Estimate Template Size (cm),Lamp6 Estimate Distance (cm),Lamp6 Adjusted Template Number,Lamp6 Adjusted Template Size (cm),Lamp6 Adjusted Distance (cm),Lamp6 Width (cm),Lamp6 Distance (cm),Lamp6 1st Caliper Aperture (cm),Lamp6 1st Caliper Distance (cm),Lamp6 2nd Caliper Aperture (cm),Lamp6 2nd Caliper Distance (cm),Lamp7 Estimate Template Number,Lamp7 Estimate Template Size (cm),Lamp7 Estimate Distance (cm),Lamp7 Adjusted Template Number,Lamp7 Adjusted Template Size (cm),Lamp7 Adjusted Distance (cm),Lamp7 Width (cm),Lamp7 Distance (cm),Lamp7 1st Caliper Aperture (cm),Lamp7 1st Caliper Distance (cm),Lamp7 2nd Caliper Aperture (cm),Lamp7 2nd Caliper Distance (cm),Stick1 Estimate Template Number,Stick1 Estimate Template Size (cm),Stick1 Estimate Distance (cm),Stick1 Adjusted Template Number,Stick1 Adjusted Template Size (cm),Stick1 Adjusted Distance (cm),Stick1 Width (cm),Stick1 Height (cm),Stick1 Distance (cm),Stick2 Estimate Template Number,Stick2 Estimate Template Size (cm),Stick2 Estimate Distance (cm),Stick2 Adjusted Template Number,Stick2 Adjusted Template Size (cm),Stick2 Adjusted Distance (cm),Stick2 Width (cm),Stick2 Height (cm),Stick2 Distance (cm),Stick3 Estimate Template Number,Stick3 Estimate Template Size (cm),Stick3 Estimate Distance (cm),Stick3 Adjusted Template Number,Stick3 Adjusted Template Size (cm),Stick3 Adjusted Distance (cm),Stick3 Width (cm),Stick3 Height (cm),Stick3 Distance (cm),Stick4 Estimate Template Number,Stick4 Estimate Template Size (cm),Stick4 Estimate Distance (cm),Stick4 Adjusted Template Number,Stick4 Adjusted Template Size (cm),Stick4 Adjusted Distance (cm),Stick4 Width (cm),Stick4 Height (cm),Stick4 Distance (cm),Stick7 Estimate Template Number,Stick7 Estimate Template Size (cm),Stick7 Estimate Distance (cm),Stick7 Adjusted Template Number,Stick7 Adjusted Template Size (cm),Stick7 Adjusted Distance (cm),Stick7 Width (cm),Stick7 Height (cm),Stick7 Distance (cm),Stick7 1st Caliper Aperture (cm),Stick7 1st Caliper Distance (cm),Stick7 2nd Caliper Aperture (cm),Stick7 2nd Caliper Distance (cm),Stick8 Estimate Template Number,Stick8 Estimate Template Size (cm),Stick8 Estimate Distance (cm),Stick8 Adjusted Template Number,Stick8 Adjusted Template Size (cm),Stick8 Adjusted Distance (cm),Stick8 Width (cm),Stick8 Height (cm),Stick8 Distance (cm),Stick8 1st Caliper Aperture (cm),Stick8 1st Caliper Distance (cm),Stick8 2nd Caliper Aperture (cm),Stick8 2nd Caliper Distance (cm),Stick9 Estimate Template Number,Stick9 Estimate Template Size (cm),Stick9 Estimate Distance (cm),Stick9 Adjusted Template Number,Stick9 Adjusted Template Size (cm),Stick9 Adjusted Distance (cm),Stick9 Width (cm),Stick9 Height (cm),Stick9 Distance (cm),Stick9 1st Caliper Aperture (cm),Stick9 1st Caliper Distance (cm),Stick9 2nd Caliper Aperture (cm),Stick9 2nd Caliper Distance (cm),Stick9a Estimate Template Number,Stick9a Estimate Template Size (cm),Stick9a Estimate Distance (cm),Stick9a Adjusted Template Number,Stick9a Adjusted Template Size (cm),Stick9a Adjusted Distance (cm),Stick9a Width (cm),Stick9a Height (cm),Stick9a Distance (cm),Stick9a 1st Caliper Aperture (cm),Stick9a 1st Caliper Distance (cm),Stick9a 2nd Caliper Aperture (cm),Stick9a 2nd Caliper Distance (cm),Stick10 Estimate Template Number,Stick10 Estimate Template Size (cm),Stick10 Estimate Distance (cm),Stick10 Adjusted Template Number,Stick10 Adjusted Template Size (cm),Stick10 Adjusted Distance (cm),Stick10 Width (cm),Stick10 Height (cm),Stick10 Distance (cm),Stick10 1st Caliper Aperture (cm),Stick10 1st Caliper Distance (cm),Stick10 2nd Caliper Aperture (cm),Stick10 2nd Caliper Distance (cm),MoonBallBall1 Estimate Template Number,MoonBall1 Estimate Template Size (cm),MoonBall1 Estimate Distance (cm),MoonBall1 Adjusted Template Number,MoonBall1 Adjusted Template Size (cm),MoonBall1 Adjusted Distance (cm),MoonBall1 Width (cm),MoonBall1 Distance (cm),MoonBall2 Estimate Template Number,MoonBall2 Estimate Template Size (cm),MoonBall2 Estimate Distance (cm),MoonBall2 Adjusted Template Number,MoonBall2 Adjusted Template Size (cm),MoonBall2 Adjusted Distance (cm),MoonBall2 Width (cm),MoonBall2 Distance (cm),MoonBall3 Estimate Template Number,MoonBall3 Estimate Template Size (cm),MoonBall3 Estimate Distance (cm),MoonBall3 Adjusted Template Number,MoonBall3 Adjusted Template Size (cm),MoonBall3 Adjusted Distance (cm),MoonBall3 Width (cm),MoonBall3 Distance (cm),MoonBall4 Estimate Template Number,MoonBall4 Estimate Template Size (cm),MoonBall4 Estimate Distance (cm),MoonBall4 Adjusted Template Number,MoonBall4 Adjusted Template Size (cm),MoonBall4 Adjusted Distance (cm),MoonBall4 Width (cm),MoonBall4 Distance (cm),BlueBall Estimate Template Number,BlueBall Estimate Template Size (cm),BlueBall Estimate Distance (cm),BlueBall Adjusted Template Number,BlueBall Adjusted Template Size (cm),BlueBall Adjusted Distance (cm),BlueBall Width (cm),BlueBall Distance (cm),BlueBall 1st Caliper Aperture (cm),BlueBall 1st Caliper Distance (cm),BlueBall 2nd Caliper Aperture (cm),BlueBall 2nd Caliper Distance (cm)
1,Male,56,,2/16/2024,9:00,10,1.22,67,3,0.49,43.50,40.64,6280,13,1.90,67.00,5,0.65,30.00,40.64,2020,11,1.44,67.00,3,0.49,27.00,40.64,5027,12,1.63,67.00,6,0.72,25.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,11,6.1,67,3,2.08,39.50,14,259.08,6280,14,9,67,7,3.32,29.50,14,259.08,2020,10,5.17,67,3,2.08,27.00,14,259.08,5027,12,6.89,67,4,2.22,25.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
2,Female,26,,2/16/2024,13:30,8,0.96,59.00,2,0.39,45.00,40.64,6280,14,2.15,59.00,7,0.78,28.50,40.64,2020,10,1.22,59.00,3,0.49,42.50,40.64,5027,12,1.63,59.00,5,0.65,42.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,7,3.32,59,1,1.4,47.50,14,259.08,6280,13,7.7,59,8,4.07,35.00,14,259.08,2020,10,5.17,59,4,2.22,42.00,14,259.08,5027,12,6.89,59,7,3.32,42.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
3,Male,21,,2/16/2024,14:30,4,0.52,60.00,3,0.49,59.50,40.64,6280,10,1.22,60.00,11,1.44,59.50,40.64,2020,5,0.65,60.00,4,0.52,53.00,40.64,5027,7,0.78,60.00,6,0.72,52.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,3,2.08,60,4,2.22,63.00,14,259.08,6280,10,5.17,60,12,6.89,55.50,14,259.08,2020,5,2.77,60,6,3.05,54.50,14,259.08,5027,7,3.32,60,8,4.07,50.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
4,Male,21,,2/16/2024,15:30,9,0.98,58.00,4,0.52,64.50,40.64,6280,13,1.90,58.00,10,1.22,58.00,40.64,2020,8,0.96,58.00,3,0.49,56.50,40.64,5027,10,1.22,58.00,7,0.78,58.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,10,5.17,58,6,3.05,68.50,14,259.08,6280,14,9,58,14,9,63.50,14,259.08,2020,10,5.17,58,7,3.32,59.50,14,259.08,5027,12,6.89,58,10,5.17,55.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
5,Male,23,,2/23/2024,14:25,15,2.44,71.50,2,0.39,21.50,40.64,6280,16,2.7,71.50,6,0.72,19.00,40.64,2020,15,2.44,71.50,2,0.39,23.50,40.64,5027,16,2.7,71.50,4,0.52,21.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,15,10.34,71.5,1,1.4,20.00,14,259.08,6280,16,11,71.5,6,3.05,20.00,14,259.08,2020,14,9,71.5,1,1.4,24.50,14,259.08,5027,16,11,71.5,5,2.77,22.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
6,Male,34,,2/23/2024,15:10,15,2.44,61.50,4,0.52,66.00,40.64,6280,16,2.7,61.50,11,1.44,63.50,40.64,2020,16,2.7,61.50,5,0.65,58.00,40.64,5027,16,2.7,61.50,7,0.78,62.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,13,7.7,61.5,7,3.32,71.00,14,259.08,6280,15,10.34,61.5,14,9,55.00,14,259.08,2020,14,9,61.5,6,3.05,63.50,14,259.08,5027,15,10.34,61.5,11,6.1,57.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
7,Female,21,,2/23/2024,16:24,8,0.96,46.00,2,0.39,59.00,40.64,6280,14,2.15,46.00,8,0.96,50.00,40.64,2020,9,0.98,46.00,3,0.49,56.75,40.64,5027,11,1.44,46.00,6,0.72,60.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,6,3.05,46,3,2.08,46.00,14,259.08,6280,14,9,46,11,6.1,46.00,14,259.08,2020,8,4.07,46,6,3.05,50.50,14,259.08,5027,10,5.17,46,10,5.17,59.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
30337,Female,20,,3/7/2024,14:18,10,1.22,66.00,1,0.3,34.00,40.64,6280,18,3.8,66.00,8,0.96,43.00,40.64,2020,12,1.63,66.00,2,0.39,35.50,40.64,5027,14,2.15,66.00,4,0.52,36.00,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,13,7.7,66,2,1.66,33.00,14,259.08,6280,17,13,66,8,4.07,24.50,14,259.08,2020,15,10.34,66,4,2.22,38.00,14,259.08,5027,17,13,66,6,3.05,32.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
8,Female,66,,3/7/2024,15:22,13,1.90,73.00,6,0.72,42.00,40.64,6280,17,3.3,73.00,10,1.22,51.00,40.64,2020,12,1.63,73.00,7,0.78,56.50,40.64,5027,14,2.15,73.00,9,0.98,55.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,11,6.1,73,2,1.66,42.00,14,259.08,6280,17,13,73,10,5.17,43.00,14,259.08,2020,13,7.7,73,4,2.22,52.00,14,259.08,5027,15,10.34,73,8,4.07,56.00,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
9,Male,24,,3/8/2024,9:12,8,0.96,76.00,5,0.65,46.00,40.64,6280,15,2.44,76.00,10,1.22,47.00,40.64,2020,9,0.98,76.00,4,0.52,41.00,40.64,5027,11,1.44,76.00,7,0.78,36.50,40.64,3421,,,,,,,40.64,6670,,,,,,,,,40.64,2250,,,,,,,,,40.64,4890,,,,,,,,,40.64,3230,,,,,,,,,40.64,1690,,,,,,,,,,,40.64,2980,,,,,,,,,,,40.64,6110,,,,,8,4.07,76,4,2.22,52.50,14,259.08,6280,17,13,76,11,6.1,43.50,14,259.08,2020,14,9,76,4,2.22,40.50,14,259.08,5027,15,10.34,76,8,4.07,33.50,14,259.08,3421,,,,,,,14,289.56,6110,,,,,,,,,,,14,289.56,10700,,,,,,,,,,,14,289.56,15100,,,,,,,,,,,14,289.56,15188.5,,,,,,,,,,,14,289.56,2318,,,,,,,,,,,55,6060,,,,,,,55,2080,,,,,,,55,4720,,,,,,,55,3270,,,,,,,26.74,1520,,,,
