ID,Measurement_Type,Reported_Visual_Angle,Task,Disparity_VA,Real_Visual_Angle,Ratio_Visual_Angle,Distance
1,Stick1_Perceptual_VA,5.212882542,Perceptual,,2.363,2.206044241,6280
1,Stick1_Adjusted_VA,3.01639733,Adjusted,,2.363,1.276511777,6280
1,Stick2_Perceptual_VA,7.684906256,Perceptual,,7.339,1.047132614,2020
1,Stick2_Adjusted_VA,6.441409921,Adjusted,,7.339,0.877695861,2020
1,Stick3_Perceptual_VA,4.418989992,Perceptual,,2.952,1.496947829,5027
1,Stick3_Adjusted_VA,4.411716098,Adjusted,,2.952,1.494483773,5027
1,Stick4_Perceptual_VA,5.886874264,Perceptual,,4.337,1.357360909,3421
1,Stick4_Adjusted_VA,5.084525832,Adjusted,,4.337,1.172360118,3421
1,Lamp1_Perceptual_VA,1.043267458,Perceptual,,0.3708,2.81355841,6280
1,Lamp1_Adjusted_VA,0.645393911,Adjusted,,0.3708,1.740544527,6280
1,Lamp2_Perceptual_VA,1.624696813,Perceptual,,1.1527,1.409470646,2020
1,Lamp2_Adjusted_VA,1.241359995,Adjusted,,1.1527,1.076915065,2020
1,Lamp3_Perceptual_VA,1.23138428,Perceptual,,0.4632,2.658428928,5027
1,Lamp3_Adjusted_VA,1.039783757,Adjusted,,0.4632,2.244783587,5027
1,Lamp4_Perceptual_VA,1.393843503,Perceptual,,0.6806,2.047962831,3421
1,Lamp4_Adjusted_VA,1.617655721,Adjusted,,0.6806,2.376808289,3421
1,Lamp1a_Perceptual_VA,,Perceptual,,0.3491,,6670
1,Lamp1a_Adjusted_VA,,Adjusted,,0.3491,,6670
1,Lamp2a_Perceptual_VA,,Perceptual,,1.0349,,2250
1,Lamp2a_Adjusted_VA,,Adjusted,,1.0349,,2250
1,Lamp3a_Perceptual_VA,,Perceptual,,0.4762,,4890
1,Lamp3a_Adjusted_VA,,Adjusted,,0.4762,,4890
1,Lamp4a_Perceptual_VA,,Perceptual,,0.7209,,3230
1,Lamp4a_Adjusted_VA,,Adjusted,,0.7209,,3230
1,Moon1_Perceptual_VA,,Perceptual,,0.52,,6060
1,Moon1_Adjusted_VA,,Adjusted,,0.52,,6060
1,Moon2_Perceptual_VA,,Perceptual,,1.5149,,2080
1,Moon2_Adjusted_VA,,Adjusted,,1.5149,,2080
1,Moon3_Perceptual_VA,,Perceptual,,0.6676,,4720
1,Moon3_Adjusted_VA,,Adjusted,,0.6676,,4720
1,Moon4_Perceptual_VA,,Perceptual,,0.96,,3270
1,Moon4_Adjusted_VA,,Adjusted,,0.96,,3270
