Probe Look Up Tables,,,,,,
,Disk Number,Diameter (cm),,Stick Number/Letter,Length (cm),
,1,0.3,,1,1.4,
,2,0.39,,2,1.66,
,3,0.49,,3,2.08,
,4,0.52,,4,2.22,
,5,0.65,,5,2.77,
,6,0.72,,6,3.05,
,7,0.78,,7,3.32,
,8,0.96,,8,4.07,
,9,0.98,,9,4.15,
,10,1.22,,10,5.17,
,11,1.44,,11,6.1,
,12,1.63,,12,6.89,
,13,1.90,,13,7.7,
,14,2.15,,14,9,
,15,2.44,,15,10.34,
,16,2.7,,16,11,
,17,3.3,,17,13,
,18,3.8,,18,15,
,19,4,,a,0.6,
,20,4.7,,b,0.82,
,,,,c,1,
,,,,d,1.4,
,,,,e,1.66,
,,,,f,2.08,
,,,,g,2.22,
,,,,h,2.77,
,,,,i,3.05,
,,,,j,3.32,
,,,,k,4.07,
,,,,l,4.7,
,,,,m,5.17,
,,,,n,6.1,
,,,,o,6.89,
,,,,p,7.7,
,,,,q,9,
,,,,r,10.34,
,,,,s,11,
,,,,t,13,
,,,,u,15,
,,,,v,19,
,,,,w,24,(23 sticks)
